t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,243.2785710127389,260.6598706512899,214.53032544790855,295.33451269540706,283.8911272469825
2,250.24307171982662,333.54914845825635,251.62195963846105,355.38364151515066,333.54914845825635
3,257.9361757533005,339.342360636238,289.37044085444916,311.9575355377879,339.342360636238
4,263.6599736558654,343.30703882057435,296.53748060505586,326.1880722688953,343.30703882057435
5,266.4138617365152,332.1758536619774,309.3251854472951,333.2604434440222,332.1758536619774
6,266.81674633866095,320.582142819154,320.340076844422,296.82233915230313,342.40335341824107
7,278.617285415249,328.965158756145,336.2172725619429,296.14559295944474,346.69944411581815
8,282.9011034177902,374.36154763871633,348.79946680490275,308.0562818748032,390.2911627178346
9,285.92520823570317,385.1362619015324,350.8349681196535,326.78781528733487,385.1362619015324
10,285.59805829776167,383.89091084669764,323.3177272086963,335.7756991540355,383.89091084669764
11,293.2482501610008,390.2635580951986,333.9187880794999,341.4082723159385,390.2635580951986
12,293.43358342802634,372.03647931017684,338.2274170547786,320.4388679826915,384.6695934042925
13,288.4425281893532,358.312740467623,338.51607324888533,314.25064646386033,358.312740467623
14,289.2226459341349,372.2677820848042,332.7004347703213,330.51342467741756,372.2677820848042
15,293.0787183922151,378.53954870653916,331.98004162131,329.01389996253465,368.14795147499314
16,292.28065845375585,372.0350946592968,331.945692911312,341.314909392318,372.0350946592968
17,293.51284769255886,361.76976335984136,336.687925459433,306.07223205662143,361.76976335984136
18,296.7062042335619,356.4377997161832,327.5744919304971,302.66863634371305,371.80839648312417
19,298.6840207015266,382.8076661078144,337.8040115595174,330.0682213383647,390.82494889826
20,301.95736647715324,399.50854055628815,341.56256611601054,352.2074055580475,394.49108686352133
21,295.1651993599856,361.48356584804367,344.0770677837837,315.641095104798,381.27209664485775
22,303.4808448280711,378.1154852363553,343.32418744538535,324.8513942943863,381.17706127870093
23,304.788209202544,389.9333139892924,343.7074173999347,317.44719931076247,392.8249143693333
24,308.5044549536177,369.4116873862523,345.7691741606467,342.77081492518084,372.94470271753255
25,311.54004830603475,374.81047788631616,353.3956048502155,341.9210874938852,395.63823661314575
26,318.2806253179646,392.09291781451765,354.65573097534366,359.5011173035712,412.3649336676682
27,330.4092078940624,356.1140988173923,348.3011986064851,339.57306236126277,375.1880827754349
28,339.1791307348826,377.6489387700979,349.03104671996357,359.7296393619494,383.338790262793
29,339.86842292408596,393.4655947513863,347.46721918424174,378.58152823347865,391.03875501717425
30,347.5678035285942,392.7425513655133,354.1569463034648,359.5463821976451,408.59461234763705
31,354.772835405598,415.41683197184295,358.69868521283576,374.64709661381187,408.8117032123041
32,358.7266340655474,387.9657203347804,347.20497876901214,390.0532689827448,393.57664952579887
33,366.64654178006555,393.7012584464105,345.951286620803,373.0834464318947,409.72272531925944
34,376.2359320217774,403.9507271483112,365.1460092127055,376.9863961255872,422.48441972417703
35,373.39846359530543,421.62430051279244,359.71239894913367,395.7312881251843,440.11255956237653
36,387.81398424387515,438.1884231924192,365.55186351795084,411.0035260699007,437.88125052160666
37,406.70332228378817,438.89920530026535,372.7816389435094,435.0397291890903,437.3289448993584
38,422.5474932511758,439.9740590717658,379.3480566320373,464.2793463803182,438.14177259168616
39,439.2020824920679,482.7210197568755,391.8373662594182,418.9978096481274,482.7210197568755
40,459.3003150499917,511.21380329210876,424.40947229177533,441.1107174352165,511.21380329210876
41,482.7089386939192,511.7719666525102,434.60900207622547,466.7502667410116,511.7719666525102
42,497.4729009332457,533.1320391647782,440.2228960679243,491.04868000340764,533.1320391647782
43,507.5233220290299,546.1313253047513,453.167049115404,517.0439291273951,542.6197123783091
44,514.7297363141768,580.4581807970251,460.66560462029094,515.651228487237,578.4504431342984
45,525.4116580307598,594.4434577289442,474.2272498215738,546.6444936905741,596.2770196128771
46,525.3809247087123,607.144170452802,480.7640410721903,560.6221974508053,607.144170452802
47,536.5959692562809,543.736143201942,488.19409270755233,468.5592927999345,562.0967415409235
48,528.2643893020328,576.4267997952037,515.8913536865753,485.409315831414,554.404968054276
49,519.8505615415692,543.2419051881405,475.8607920401024,440.47266141617223,543.3416019303247
50,509.1111413592298,531.0678607535423,478.2774741930028,439.17038776605654,524.4778122732322
51,518.6581815690727,540.8202128835778,475.2938565697729,459.50640980898027,533.8054861306246
52,530.8779020377116,539.4868824754524,471.77544107412535,475.2220542969487,539.4868824754524
53,519.6373487530451,537.5504653945254,473.95871906485064,466.7975252296654,537.5504653945254
54,531.9648412820186,542.4195487423729,476.3510647924962,478.1037951706303,542.4195487423729
55,548.6661476803405,559.9479750613497,484.07473639437575,491.35321445047924,559.9479750613497
56,552.8397993790787,566.5809228864495,478.6526484904294,477.2533313959674,565.725065051281
57,567.6574843724833,585.7912559474549,485.99559134400704,456.8797609470307,583.4565663326732
58,550.8086986104664,600.4190280536372,502.5755191207679,466.708808511079,592.391712862615
59,562.1368788273849,605.1491728867747,512.5515801526631,458.6682159377626,604.9409025187686
60,547.5699136162843,590.0506508679124,519.4623642612676,457.33595778312144,594.3809573168079
61,539.70322697086,577.0041344849731,498.6706252024676,444.5976865892687,586.8675640386913
62,539.5932459142679,584.9923241380048,472.2722990236453,475.80265801171697,586.0460202049462
63,527.7675291164253,585.9951793725297,466.46262256799923,473.0669227761935,586.3785979451766
64,517.6901055514546,577.0851355901615,491.8758484996459,463.3951403159105,578.0683277758336
65,527.9683966976252,573.7996922102353,502.3436301031577,475.04622670989414,563.7192354121358
66,510.45686109647795,573.2676208075717,471.15998032730073,476.6707481671985,564.2687792640228
67,493.6016536021946,554.1646648306765,470.1002530378702,472.86182381064424,542.1881048695838
68,477.4686951826883,541.2170075114532,468.3431225974898,471.1968720219717,523.742287775418
69,466.8881239509752,533.0661493916215,467.6878929327804,472.9478848702041,507.77325099429106
70,456.34943836992784,535.4635264881153,468.52126052227595,469.0102015986357,510.9018561582013
71,453.5034006773589,493.1907406184223,450.4857104099215,442.94569938563825,497.3139488799422
72,448.1561103995674,535.9984527041772,432.9901695607566,441.17503723475767,525.2034001626292
73,444.0518550686708,538.9291524639459,428.4368964639687,441.45461560166035,543.8350793729666
74,434.564697395255,495.36169803912793,424.340639769329,427.28449236665216,511.9576058551853
75,425.3796359767885,511.105973471727,426.165872026827,449.74920079436134,508.0532008379705
76,419.29264865765435,534.6391597287706,388.9072545166875,448.13673574494953,531.4217694087262
77,412.4487295883141,533.9797796080015,391.39209701535805,454.40954721865666,528.3871197277142
78,399.139864133692,517.7516364248261,377.3852739499812,446.14984357402375,517.9392826805511
79,391.9004554181093,517.8034941925453,366.1525156040885,435.31050497091127,517.8034941925453
80,378.49226582403077,515.8718916839639,312.32531509721997,441.78420259706496,513.7016998353931
81,374.67064584307894,509.54131891913056,312.434983144765,439.6788537494965,509.54131891913056
82,359.2605845629737,495.3465670147671,302.79239044042754,395.6180591515572,495.3465670147671
83,351.71886181039406,469.1992669414388,296.3743843959551,346.4919814852206,469.1992669414388
84,347.82163605713424,450.24381713171965,301.15280029585955,283.27008515670695,456.3608997685534
85,338.94181493280536,451.7707585106412,300.29756592346257,243.02864757610328,452.485270898967
86,329.28723276199673,450.05152543757123,293.66693495802343,300.0438678289198,450.05152543757123
87,317.06544985467525,441.0523525724246,292.2369989468544,309.1590868375126,438.7402009201417
88,315.1690998286062,452.6155019251218,292.51223909434526,305.9249876882776,443.2857733198743
89,304.01588838103504,441.33822094942803,296.03633400895615,305.28783130392907,440.28985678339257
90,292.43394502275027,432.0292649469877,294.52864364905224,292.8969154570922,433.85178513805675
91,281.4748151932565,409.48014590028185,283.5892451294119,292.8538923402874,416.2024198827996
92,275.15986817185353,404.3241777845018,270.8498482579766,293.95945926994716,414.1965193217609
93,270.36356327607325,383.57040787601306,270.2945540577888,287.50400885512175,390.2063039706398
94,257.3027863142111,393.9492756482144,267.0594905830745,273.5689759771838,391.515615431154
95,249.46742323031663,387.2609488903813,263.0263385550217,256.4462027657218,380.8199425386266
96,250.04465651365132,386.5626651519564,267.16899530797264,267.2296498794633,379.99101265604213
97,238.7358769426058,358.2419745851096,253.13928359402925,251.94362608767452,358.2419745851096
98,221.48477846998804,362.85397850708625,258.6512819224178,251.89518213989203,362.85397850708625
99,216.88681637052184,348.787386207484,265.68013576893475,257.9527097899067,363.34703429028343
100,225.48082932713163,345.12986116248754,266.35498148431554,249.138048121221,353.16642992386056
