t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,2.0751607200849174,0.816806098356681,0.816806098356681,0.816806098356681,0.816806098356681
2,2.1182095960751797,1.9557838082465986,1.5862571706943418,2.1930407213595258,1.9745069556812695
3,2.161540470768302,2.3943355353773104,1.84399293912575,2.5565353305686305,2.3943355353773104
4,2.189719368980794,2.579211591041983,2.1283488858745145,2.670933482028188,2.579211591041983
5,2.203984733615445,2.604407281983749,2.224378447700463,2.711275720319047,2.604407281983749
6,2.221536165917198,2.695920765703259,2.3010534734467454,2.7496641834461957,2.695920765703259
7,2.255159315927331,2.862282135742735,2.364052623220104,2.737405909681219,2.8852556561468172
8,2.2874284537821388,3.0160094008160154,2.3907790557360094,2.742164715012603,3.0267049120840577
9,2.312634115468713,3.093895902431213,2.3967754687632414,2.783511918263691,3.0981274266307786
10,2.3305392786426578,3.1140605937462693,2.4095148625053717,2.8113648031696794,3.1140605937462693
11,2.34155599406075,3.133756092108849,2.3598624107567847,2.831549977064847,3.133756092108849
12,2.362835834816971,3.1463166914510756,2.3659428580453277,2.844250414699001,3.1463166914510756
13,2.378643627136539,3.1477355993919915,2.3615066311856685,2.8325722500713786,3.153069411786609
14,2.377657365599255,3.1707777608671766,2.3642432607262194,2.8494359537998135,3.1707777608671766
15,2.3877024031157763,3.1913645586796924,2.3473410702394313,2.87411956181992,3.1913645586796924
16,2.5163681045097297,3.2053076592737666,2.360904448526437,2.891992083797214,3.20538845725095
17,2.5377134510013164,3.221803332730588,2.382781277948921,2.9158172221695624,3.221803332730588
18,2.557743219065009,3.241529985064028,2.3920718848093254,2.9213047298655157,3.241529985064028
19,2.568058771462162,3.2687174078230212,2.3719395997065575,2.9572292031750846,3.271627769996592
20,2.591935729046736,3.299454372053267,2.3853126930913606,2.9907417980169626,3.294521031495877
21,2.6151879281045023,3.323570345006659,2.401748595891099,3.0003189116549924,3.3191673150085452
22,2.6422336581728816,3.3267029833506885,2.4112994499984017,2.9847387722683023,3.3451774598315995
23,2.660920537728625,3.3713093851030647,2.4080172363596195,3.04373671025087,3.3813466814059554
24,2.665941028142939,3.4060699356406325,2.409431168987914,3.0975490189282238,3.41140781006988
25,2.6663887948287455,3.437070669604183,2.4398179888717992,3.1475038166371783,3.4413191198120794
26,2.7011434507399454,3.460825601315684,2.4530788347251806,3.1681547907471876,3.4738742999034256
27,2.7250796333008416,3.4995388374634535,2.4549492938633812,3.1914049537117104,3.5018580014017204
28,2.749245396552765,3.5360476398041985,2.445562599371624,3.201786014665558,3.5336213874006916
29,2.8577185922164197,3.576886168438647,2.4449164575430324,3.2663789997112778,3.571602311117373
30,2.885589465493659,3.6196680992631163,2.447689024318075,3.322416638260052,3.6158097901231234
31,2.913147801446787,3.631589909728859,2.461329726744024,3.3709703347614566,3.665594633474931
32,3.0390777628260675,3.6885308795405587,2.4611140074235665,3.4441394139239674,3.7137184241073182
