t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,386.36923283833505,133.74100255663726,133.37599680300002,133.27125203050372,132.90592768535953
2,388.9994975928474,159.94276794243635,173.1561748837242,157.85823117101697,158.56501458859032
3,384.1826061732671,200.41022498126205,201.29507670442493,205.28376771986296,198.25692635927666
4,384.5902037874848,262.08999227242646,258.1967276395047,244.3823673334484,259.38359602182214
5,385.2769832002894,312.2670288064317,280.11094851441766,278.53081629588394,310.13993244875616
6,383.72371432443293,350.86198088452596,303.87596277963075,292.17859020153895,357.76099710232995
7,380.9384595642857,349.94998930129333,336.62585945882273,285.9429291540793,362.5302151074708
8,372.4712360754072,352.4101418101047,338.1850265952164,288.76812600393276,362.21526343396727
9,374.34264485434824,354.84344555090496,341.82631696508145,274.3572623192341,366.82419028322454
10,372.3225735387716,357.74853312869425,338.71453933197427,278.0770454786638,361.7637838658083
11,368.69801296284646,355.55090899613424,331.2185411968097,277.3852072457605,360.2382349956974
12,371.83573570075475,352.663927659748,332.6255638372074,283.19154852823124,355.0551558643045
13,370.9862076392158,354.88653566966826,335.06169787821227,285.1951492652368,356.7989151864472
14,376.1404981242441,357.9394710131842,338.6597537515346,290.54958626446734,343.79979904889893
15,368.2882239457848,353.1193742520363,337.94196644680846,283.2688980161558,343.91961344863887
16,362.94259745917475,321.2182986818557,333.46706291095865,224.32017459503794,344.54488389057457
17,364.38034504975917,342.28458110756605,336.34780945363093,290.410188565941,349.04030933357404
18,364.77825769962743,350.23721428661304,333.6111922958766,297.7129705599031,350.23721428661304
19,354.03864856229677,346.19116223462976,318.3451212129899,293.20972273037324,346.19116223462976
20,351.96609567873054,349.4486043799777,324.4341299695152,291.0989851501039,349.4486043799777
21,357.4362239119971,353.4533588585875,334.02704504485206,287.17808909377953,353.4533588585875
22,352.72175357376915,345.15673211332523,332.74706235481705,283.60414905384874,345.6540151731773
23,355.5797927929165,342.686379879621,332.0191658482296,297.36069048006607,342.686379879621
24,352.8987529795515,345.800370203324,337.39057892494145,297.28555995015734,345.801905949901
25,363.17700603513765,362.09426117983304,342.39780400255904,309.1534476854082,362.09426117983304
26,360.37777320788814,359.0104919328561,326.1699028485771,305.0280318134768,359.0104919328561
27,365.99514840492543,359.6814638811748,324.64632513109973,299.632607493175,359.6814638811748
28,359.4400065258814,358.0577574570344,328.53760096113893,301.4008457158277,358.054061786866
29,360.8925405618832,350.15732863208785,334.0278909176988,306.6447487580089,360.79431879170954
30,359.07647248843926,352.6749230934095,334.7160179067962,306.3344178775624,352.6749230934095
31,359.6715772127161,357.19261119511657,340.5594250404164,302.32586016838763,357.9069255860319
32,354.5676846202445,341.56660273244574,327.8176116921203,274.7429941028141,355.5561918547928
33,351.8253353114756,357.7280023828738,334.34242856185034,299.3316036180677,357.7280023828738
34,356.01257660126566,364.213982745388,347.92835656742625,316.6153277355926,371.99263405676373
35,359.2219404822948,374.81600201959094,352.8823347558454,317.35665701574675,378.2552198669682
36,354.1737409680167,361.95248884656377,335.5225866447015,291.9038028533277,373.2526042596832
37,355.8800109404254,375.6999299362063,340.64377326806743,313.280968403832,378.99390459898973
38,365.6743163833009,387.8105534870193,347.55867440244026,326.01953077017725,386.17262487040006
39,371.40011498309275,397.6457392455455,340.1725387083176,334.35880177731303,393.94756771903474
40,376.923840056373,394.11265827843977,345.93751932630073,318.54515724893713,395.46610087971214
41,375.40380160520425,391.1096706369526,354.5389567660395,337.75352065556433,398.2944673859385
42,383.68673841539675,400.6008559812119,358.9166368554801,344.19641340090703,404.7464641259883
43,387.92585277009607,403.6595960466619,371.16468444888835,340.52254181112147,403.54349206653353
44,385.8432068258017,398.15112041122546,372.74530503398546,326.734064841531,405.1340560386791
45,381.5717465511762,397.1018798641836,378.73725334974927,336.4063185931791,398.01440010104284
46,377.01154759602457,396.71260013807,381.4788759727928,324.6093202490509,392.97893459075067
47,380.9041357435357,404.75247669019996,396.68496461955084,331.5456315870233,404.99021969607
48,376.6101214310639,414.2435885697433,395.36089659429365,331.52304635409143,399.23146387392774
49,367.2768770531196,404.08271263071094,381.8841447947706,327.59276097526856,398.25278326360126
50,369.5275284625801,400.96047971529174,390.60159314159506,326.14656266705873,401.51786675928537
51,361.009307103563,385.19976777683354,381.62113162459065,321.9761153801876,391.8867175614956
52,354.9053290189614,404.8272534101165,377.7955097005055,321.5282921262328,401.57271966528316
53,349.39287889693344,402.22629402644213,378.45437601433736,321.9920285574789,396.3536101767723
54,347.0807731971888,398.16822569599987,378.1708217228452,319.9869927837803,392.9909580007375
55,343.3789909158447,393.15953654363597,376.11247780509837,321.1475649041186,391.1457209508549
56,334.75006859906074,389.15648087502746,360.87940564126444,318.4678989677946,381.6076298752158
57,329.55508564585165,385.0158584604058,367.4463937855073,316.42074716779274,375.40279969892805
58,325.2510092863909,393.62783148676596,360.81436541976814,314.5181023704954,382.62553316583364
59,324.03122408342927,394.45364795567536,368.43840334666277,314.16388131591845,372.34032963020076
60,321.79815595134585,396.1780967046482,370.0094617144503,316.29821519651057,379.4958367463488
61,312.4840648412143,388.59512056379174,330.23987783435183,311.7761411063224,374.0564336299879
62,312.10038416626287,385.6397770934988,330.47241502621426,310.04342214110113,371.0792833930141
63,303.25798557045874,375.2160373781807,313.7992509917051,295.7373785393445,364.68228201243636
64,302.8639613853034,353.1536519649589,320.90953641776434,197.51081531118422,371.64944147497005
65,288.4714523290425,357.79884463047654,308.7663849726185,233.75232524366336,357.79884463047654
66,290.74777745785923,360.45358746649714,276.84416627458035,229.4458236526873,360.45358746649714
67,285.27943089704473,350.2174669374684,276.70531738457413,227.48987656989013,349.6782548501725
68,282.8456083302914,345.60729732656216,274.1469406984968,222.90766045728856,349.1608405916386
69,276.18333091775105,336.6799920853555,269.63638978393897,211.05663698654993,336.63908842364043
70,272.09185040716557,347.0445852962693,270.7607660882331,251.43881131806768,338.1386130441387
71,266.9438345925144,343.50412015088716,280.14666582150033,244.14184205053348,337.16689469745324
72,262.3904033770261,336.23787541207963,277.3583226284477,235.5631646657991,335.77912319986893
73,258.19097923224814,342.2856465841192,275.58462240473676,242.60851667657147,334.20532830949253
74,252.60764695088076,335.3707214246708,267.1521904312415,239.04132039440225,325.92386803464103
75,248.8054007420983,335.1585074844942,263.402575452158,241.27025371433632,328.2990436585997
76,247.14969588447326,331.2186652168592,253.02846461822907,237.3701344466759,324.87205917269824
77,246.96149147500708,329.6100789113201,245.93312319409165,230.72406567270764,326.0010341161617
78,244.4332749291404,331.9059698834014,239.0479559976017,222.71802811668283,329.9447390860108
79,234.4817730734329,322.9210662856739,235.51415776340787,212.85459086352847,324.696783063075
80,230.50344249424376,325.6899868645255,235.83738798760217,218.68375825590869,324.1740539515485
81,227.68031758593705,326.99050202140444,239.2072142867147,223.15595530929988,322.7702090459443
82,223.01800516472304,322.1038828828992,240.07789170502204,224.68957168948756,322.1038828828992
83,219.40007876162468,319.56945247503097,237.3377522648855,223.04282054005373,317.65052494166
84,216.202927794068,315.3282049959659,234.06526174303966,220.80498078710502,312.81994712938246
85,211.2693961811817,313.2405776745577,232.27647214849242,218.6952988623607,304.041023633747
86,213.00913066185169,310.3159897361921,236.69018580685926,222.90549829897606,309.32919082777346
87,210.137491876071,307.2788426846992,243.90864849540884,224.77325236784222,305.30801846288693
88,206.98243973722703,306.0847921994169,239.58994344076126,219.8788966459585,302.9783888004965
89,205.7339532692239,308.2010283807035,239.24056934374397,218.60765862058904,296.44916852419755
90,199.9868872222479,298.1063806301309,234.61738587081243,218.4357840042262,285.2512021887106
91,199.0511141362443,300.5655818071913,239.14701372817086,223.04095556060363,289.28076424830624
92,202.36536688471858,299.7284169046213,249.10673925296425,228.20736453664358,294.8159149700531
93,197.29786466176208,310.4978247298558,249.2529197936094,229.53791810671672,295.0663773169835
94,196.68701563238244,311.2482374579406,243.04115736076864,224.7189155635801,288.2086342934702
95,194.92836060519292,306.55003794647166,245.02408394676544,223.9822862194779,286.54967745356186
96,191.15028691083896,307.25161480488663,244.46946073116425,227.14447516583243,283.19137158825475
97,191.2068182652019,304.84696153258085,246.41841432074563,230.71749336252796,285.02773232445907
98,194.51317831615896,313.24931216692255,248.56891744962326,235.9247430421131,292.04465966846436
99,189.09317042251791,312.16498677361807,245.16640026746035,234.88765649970287,292.88151605586125
100,189.32073734484334,308.8770134971361,238.36631185137432,230.29096485640085,292.38183683547066
