t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,3.0352143087869465,0.9002389618886584,0.9002389618886584,0.9002389618886584,0.9002389618886584
2,3.0353499645249813,1.4477369169859147,1.4541991570585366,1.4488556286664958,1.4553237012988849
3,3.034527995353848,1.8403041565685352,1.7456863054184335,1.8398525297693968,1.8393217973131464
4,3.034343635527179,2.142231775019089,2.0647072341612844,2.1425028326410858,2.153169920091157
5,3.0341692911060796,2.3868645197281655,2.319242192106932,2.373502847094819,2.413950184740129
6,3.0464498436678857,2.8439187844616147,2.467459414545246,2.5737844290334433,2.863006196136766
7,3.04612168849502,3.0808689156358935,2.6128704618966703,2.6086306752886017,3.0961850331891307
8,3.0456342890249513,3.168992683346834,2.7771288406190235,2.5640301058222934,3.1715314623564206
9,3.044820265323028,3.1082148562700738,2.805442323354942,2.5836769738261784,3.194468610780066
10,3.0439744918762868,3.1930931731320378,2.8191551915933593,2.391357339524752,3.2005500121758326
11,3.0430658883429915,3.210725780439441,2.8253644185233022,2.4348067853080257,3.2039276748262355
12,3.0420572832272312,3.2169097897238133,2.823854063745897,2.4420435752318412,3.2063493651949266
13,3.0406977272296207,3.2164113743954035,2.857045368527059,2.442004289175216,3.202435584870882
14,3.0393092491493263,3.21635388348953,2.8691883891436847,2.4351412944447244,3.197264777588554
15,3.037834492900997,3.209583336148178,2.875930827626081,2.4216828556472283,3.1609723569219517
16,3.036349920232239,3.20418189723003,2.831226298522122,2.4016285592265327,3.212155603918807
17,3.03457561289753,3.1698368789278413,2.8410078705251802,2.2867421332501885,3.215750844700546
18,3.032597492797276,3.2091628095253926,2.84318849310993,2.4234694306344946,3.213175179887386
19,3.0305101402525834,3.2103503576259955,2.837415188554838,2.4274603251706157,3.2103503576259955
20,3.0283926468230447,3.2107506645829633,2.859117619851557,2.425929110705515,3.2107506645829633
21,3.0262934442151144,3.207871789069838,2.87533634496889,2.4198045958342185,3.207871789069838
22,3.0236800388993545,3.2052410320681326,2.877908527431552,2.409805562169184,3.2052410320681326
23,3.020814681110005,3.2000190903242087,2.8385153322305356,2.421531773053558,3.2000190903242087
24,3.017886703212637,3.199226947816751,2.848697451627962,2.431104587452188,3.199226947816751
25,3.015091458124088,3.20021633696023,2.8677426510156345,2.4345026409431867,3.20021633696023
26,3.0123331700181444,3.1974260059814017,2.87421487131838,2.4325439461438743,3.1974260059814017
27,2.9938267396454594,3.194467333452668,2.866222663344657,2.4261048006796684,3.194467333452668
28,2.9900234881169494,3.187764064005071,2.8271387465042763,2.4174474423182852,3.187764064005071
29,2.9872546108697784,3.185939504221855,2.840816054137052,2.425266756596693,3.185939504221855
30,2.9840863655485816,3.1752324070039424,2.8483105276055505,2.4260420275770853,3.1800619291006944
31,2.9799678462109767,3.1732954128278963,2.860523253976981,2.4209344380579236,3.1732954128278963
32,2.974427278601174,3.168705698850217,2.857402790494762,2.4102134359517606,3.1695325554709957
33,2.9689535939566136,3.167239398203405,2.831249751053142,2.393064061031215,3.173488660551549
34,2.982493558616845,3.176980041179654,2.8252546585055653,2.396426688151293,3.176980041179654
35,2.9817069493431956,3.17365179822948,2.838066609237548,2.394153639774874,3.1818582647028895
36,2.9807016971677296,3.1763152632517118,2.829948009382668,2.39226980752262,3.1791102235587934
37,2.9801019695247435,3.1588292448709523,2.8159744553437207,2.381709637293146,3.172503245431968
38,2.9765042288681305,3.1673794865919196,2.8435280755663586,2.3873584647971273,3.170372441466978
39,2.9699769921837302,3.1633107243804988,2.863786828039525,2.3729691431487607,3.163600084426893
40,2.963359417207146,3.163134018929758,2.9225639427009904,2.3280656003828266,3.1600619855662795
41,2.961686049786282,3.160405877736067,3.0119474158012047,2.3735355792974886,3.164436419839708
42,2.962518246783353,3.1624970340460594,3.0190332595808487,2.3915266860922846,3.166819348054673
43,2.9578652285036724,3.152568358251886,2.990693955475978,2.386767718386459,3.1541649417814646
44,2.9479008084976352,3.134490826349054,2.9872308985955534,2.355998382423788,3.13346302260082
45,2.9372386894687237,3.100865528675107,2.9750033385175163,2.3418621270437034,3.1147464854541065
46,2.9207515441447174,3.0758515107421274,2.9164871398470598,2.3227509564284805,3.0916857121554036
47,2.904333363552295,3.067989400750932,2.9140328827694653,2.3267319463619653,3.0688216273520554
48,2.8844778384548895,3.0582825627380172,2.9164326054002796,2.3304579494055715,3.059589751695927
49,2.8650745277656613,3.050733417242293,2.9047325754136057,2.3284818154089466,3.0484757374319176
50,2.8420304492204536,3.034847525427462,2.9381699562401455,2.3205234904840086,3.036550148328259
51,2.8175855194129187,3.015887642778402,2.9356604863038083,2.308858316367397,3.0215484126434373
52,2.7918965300944274,2.9893887915643242,2.943341253459111,2.2931713654574377,3.0022429471638836
53,2.766604185141924,2.9716899532688714,2.8818172021585604,2.274650096975836,2.983329097766022
54,2.7414520357706254,2.952569044149348,2.8494057359481975,2.254375026485486,2.9639376535689546
55,2.715183961076348,2.9275436531726724,2.8355113952902333,2.239976771111124,2.9460263111896485
56,2.6918294863405774,2.897559803517288,2.817171480050465,2.222972297326746,2.927059278658409
57,2.667235929746983,2.8661537229466783,2.779761822454109,2.202873310276682,2.9007869431693356
58,2.6442518289383803,2.835811277417438,2.7689031206525216,2.180967821390767,2.869138036910386
59,2.620658322548095,2.790036387639104,2.7296305722671583,2.156492723871274,2.785745868363142
60,2.5954617158810454,2.777085431547806,2.704987033202715,2.129923339014878,2.78254563230096
61,2.5701999681675267,2.7491376111417685,2.6808455462901595,2.100680420361298,2.774116561375894
62,2.544851125816913,2.722675391489508,2.540355101982742,2.0687771406778914,2.7552690521513354
63,2.5204679793693554,2.6925252393029444,2.509085787347471,2.0343625101161233,2.7316015979276953
64,2.4948302792828843,2.684754648386843,2.4653296937506863,2.0071838404911495,2.7079329484845878
65,2.466469659467408,2.637794130345917,2.4405133725571866,1.8597776703545077,2.6859345906696976
66,2.4386897096014044,2.6643046222357833,2.4232014630446774,1.9404920246665331,2.6643046222357833
67,2.411563242840292,2.6376975258302413,2.338848322136789,1.929636782221917,2.6376975258302413
68,2.384407899184956,2.5979592797702926,2.332437485942416,1.9136213728645497,2.6097090406102734
69,2.356487564646408,2.57530425289966,2.3218411352537274,1.8928301641535017,2.581819337993878
70,2.3287233505026137,2.5086779864704347,2.3103083676931186,1.7363430585374593,2.5632500496865065
71,2.2989000714326218,2.4962280159846344,2.2836972755112575,1.8480499569714866,2.536459806104773
72,2.2705232684924006,2.485064513110159,2.285526174835982,1.8327691448567007,2.531805541908279
73,2.2470352957751225,2.4706419953293803,2.267407835320807,1.8116872665488246,2.5218690828101504
74,2.229379602648219,2.4568068060609916,2.243624882013329,1.7943057498492179,2.5042012534429388
75,2.2116815413838653,2.4452308684594324,2.194030555997293,1.7798990830532389,2.485067443653375
76,2.1898024388195587,2.4307563281801468,2.1696057495691075,1.7605722247143285,2.474072747046748
77,2.1658464236955433,2.409835420454058,2.13452863680342,1.7347476448402874,2.4756687514913835
78,2.1397972473115914,2.3803426080253525,1.957594356780199,1.700501156435085,2.4558487212332754
79,2.112654702084441,2.3837330427795678,1.9455894183695301,1.657980095416669,2.445242562889047
80,2.0839657464334125,2.429372950091973,1.9381874052563397,1.6615220408021059,2.4375205856793474
81,2.054455145828168,2.426211566316549,1.9370579843721034,1.675015354391343,2.424175809275936
82,2.026036646079236,2.4172755405251793,1.9569537837558306,1.681999955965837,2.4198046675897413
83,2.0032492897063623,2.41258283526046,1.9558180300124623,1.6851696209552889,2.41258283526046
84,1.9822966732842584,2.3956798612541617,1.9469903889139921,1.6838703846817031,2.3994896108476653
85,1.9614253927817955,2.3878510003025952,1.9429662829781,1.6787105903927224,2.3898888539441296
86,1.9423860402631634,2.3844327609850957,1.9385432295997906,1.6767324948648608,2.387083391722348
87,1.926056079832275,2.3701172358571756,1.9332089958380423,1.6774572768401015,2.382581441052693
88,1.910316862117527,2.3684484259496643,1.941236643727076,1.675874418397283,2.373455241862567
89,1.8959929736722565,2.361353232297367,1.932460127502723,1.6713467212236055,2.361387430792589
90,1.8811473995189816,2.3504395844602244,1.9287509554081403,1.6636100785578636,2.343939818440124
91,1.8668673289068827,2.340606000431458,1.9239551836801598,1.6579863981911092,2.342127118773507
92,1.8526075130220794,2.3404247686165958,1.917069914820335,1.6570326536207254,2.342375542390666
93,1.8390854954214804,2.3374097975025343,1.9226807577058873,1.6540951108679791,2.3388434552446022
94,1.8250791786609963,2.3050736109469407,1.9120558588923875,1.6481415741932308,2.3321671761792824
95,1.8105341661534047,2.304938973571058,1.8932510955622168,1.6392896377499635,2.331041120772087
96,1.7953781389555863,2.3045888262327607,1.8928209374222027,1.6268877146878857,2.3208918313711226
97,1.7828411660289454,2.3068718195844604,1.8959307988268612,1.6139340699557219,2.3225791888452516
98,1.7752417571180095,2.305807520606141,1.8890957624258968,1.617860528025328,2.3263627010177346
99,1.7664178428141397,2.312219922740185,1.8772497409369955,1.6199730306100437,2.330666012073265
100,1.7533211641249822,2.309684940029951,1.8579251048476833,1.6172446552760649,2.326335971671694
