t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,555.6136727185589,485.7367708814875,400.4755711275474,488.3316917170945,447.30040057163603
2,588.0049805547276,425.04918070891233,455.6747459500342,478.5208102120278,442.7154024252389
3,614.0187390669212,608.3448216674652,429.8304978969305,612.4696981320259,640.4024705250363
4,716.4241143622015,703.8394003790331,465.4030534347643,607.407433251799,742.486878641917
5,736.318947358177,761.804670016832,534.1581101041013,797.9250532008485,834.4372260267993
6,734.0439152082951,749.9483181746923,610.0217222885232,781.0815623251854,823.5627643025525
7,812.7528562614618,770.3201471560506,627.6301760059115,764.7857057669939,790.2625404286873
8,814.5605869951723,852.7743693047278,663.2219337563843,767.7631583935771,879.1276651412065
9,820.0578806537407,826.691918681376,635.5530521554394,743.4905329463531,807.8679247326862
10,796.1954646182503,818.9276912875727,652.2050345829034,765.4608997796784,848.8273875277124
11,821.6859047173803,858.8679244583784,696.3209754059006,775.933020585622,910.0446864443826
12,864.0923922381237,949.2184714192465,719.8094403928417,898.1665070279058,954.4771660793723
13,848.7806934110548,1003.5674373497011,755.0786172739049,913.6051630730237,971.2413405245014
14,830.085129198017,998.06864197625,837.3668732586406,919.1524413878823,983.3960908010799
15,821.6872653804005,998.8014817840628,862.9402919640601,952.895606360861,990.3553070488989
16,791.0772623406581,1013.4041069753073,875.0707411147534,912.0916068659983,1016.0026963896698
17,763.8011108745272,962.1068725504841,827.9054671524243,855.2092259368393,991.268626345252
18,795.8800530342768,914.8842073247489,919.2196528605316,841.7730992736088,934.9845951602894
19,809.3710681512316,924.3512346600177,947.146521336129,844.4453939760042,944.3972845266084
20,722.2389296955029,846.5273799883281,860.4871889701594,744.4263690255583,851.0952572626401
21,779.3760721045473,980.1623787771952,957.4908610946813,826.8479278952752,991.1473352433585
22,728.1870630450368,966.4625573684726,919.9922767349711,821.8371222731095,952.6014315538018
23,691.3631347863616,904.4856033061243,896.3674118531308,763.4176842873502,918.0277713212569
24,687.8750311160272,930.791008756755,879.8634003616963,711.6675408442742,945.4565245139773
25,677.648948117159,892.3232869790305,797.7760994205506,701.3541454039406,892.3232869790305
26,685.0750923850363,900.6806893757049,851.0459507289218,750.0362664056054,900.6806893757049
27,667.180989189933,907.2782044842656,853.3611972270016,755.0474424350757,907.2782044842656
28,685.1169999453438,921.3231865525856,828.9804574830292,727.9471004254283,925.8824670721225
29,675.8640656043167,878.2644802087265,763.5295231062763,707.3998308833767,878.2644802087265
30,659.111154042026,845.604928492677,734.5346135736042,666.3743752489195,874.0268566590617
31,639.247224038721,841.8810666523193,694.1912808053478,627.2567710801218,841.8810666523193
32,624.5403913510336,798.7991376706282,747.9247497197929,586.7242741463157,809.4614643294802
33,608.4192252874044,776.8141760552422,636.5262481581314,569.6733181570355,796.2374282583405
34,597.087425978085,763.8748452990155,608.8154988207932,559.4350892561068,767.5514421978066
35,593.0153735127961,735.2467321169642,579.9993640003191,553.510482417585,751.8005894713174
36,551.6004442482412,756.3871953876882,539.3857468688468,527.6773971156874,755.879004250823
37,597.126990461956,603.8780206448649,556.9291814324797,500.0258025758335,633.8085920867361
38,551.7001732325725,658.8832951818381,543.8444160908613,412.7450307431699,658.8832951818381
39,617.4155144384284,718.655429267524,536.2253621733444,475.74668569676203,718.655429267524
40,633.9066551721501,723.4906345599641,628.6685974648748,516.9884083576936,723.4906345599641
41,614.9132003374087,720.3521851275514,636.1552787631819,497.38089382172814,720.3521851275514
42,595.4044722242422,739.2192298038224,639.4319749662981,456.7680537116036,739.2192298038224
43,614.7322224461956,728.7161769364265,626.9270825696796,443.49904026003213,728.7161769364265
44,677.9530627134941,814.5859316530792,664.993243273351,526.0515228062341,814.5859316530792
45,726.4065224423541,779.6919490977238,703.6072832698021,507.55973072866317,781.1330530482069
46,756.3129321402151,807.0339475123692,717.3694519284518,487.5959498722321,841.322739846516
47,746.4114383065242,882.2046772756821,726.2238978392376,566.0056170725727,882.2046772756821
48,718.9560478429139,833.5257051966473,686.5293599136638,536.4706291345054,877.5537273144548
49,703.3048989408857,858.549774239563,717.2345079589114,595.3972325237719,855.3300102473896
50,678.3760768682989,844.087975929775,710.8439492833817,629.4884675440132,878.205907240108
51,620.4549170575743,860.7650043868252,747.4930458312862,709.2637661857161,871.3269351984857
52,618.356464008008,775.5620826498257,755.4967693646198,470.1318481877024,884.2696880169204
53,639.2352620135441,830.4330723638527,745.830685489966,619.7659768222901,849.6228608333356
54,619.9101334171146,804.4167458579342,735.826237569073,595.1402281210095,848.9578942348602
55,605.4048781938458,784.0082233472157,735.9384602293617,558.0517605515968,838.7195091201295
56,587.0184692340264,765.3901580778412,802.5674031427811,544.4171180830816,868.964591368435
57,571.2674614783722,775.0918805494761,849.2625503596626,571.5385007157959,820.0937353058018
58,568.2289361643248,842.4248959364376,880.0116244844788,643.032095742069,769.3888099436703
59,578.6744632297718,878.9646800989759,839.1316540259605,770.8864854871729,787.356067065397
60,501.69459307061396,809.5815282934051,755.8827942506537,685.148067815126,796.7318330075703
61,494.49722052212957,841.1703702563013,724.4289776100256,728.6239301597965,783.6224621763893
62,508.05243134547703,860.8327594725021,787.7108745501922,757.6032726067049,814.4010002036864
63,586.3905179254472,889.5504550123266,824.1261376399979,775.1824151509563,885.9938523942384
64,570.4503920450094,801.4095311562788,779.9452029776975,702.2582723466726,821.4700175825053
65,585.8599949648498,806.7607754589797,775.1722383430416,657.3683311928025,763.0518484311111
66,598.0453420701748,773.7634943657581,761.6053523257624,669.4078797788778,809.9943383866694
67,600.2570094044181,810.9592019575937,791.7632821313383,653.1396743590788,866.600170862316
68,599.7566337101712,868.7025546006893,800.3295978802626,666.2812186862808,859.8435546298393
69,522.2700528446542,912.0564222712164,791.8374376235372,649.9987944095207,872.2959472427079
70,511.0552219261808,889.5239208269843,777.1079592574139,639.6639717577397,881.6614225197268
71,601.9339910390156,868.3953970183155,781.9882051063845,511.2883743357404,859.4766268554255
72,626.9048458242008,802.3010017402579,840.4159939039705,501.3571249810392,882.0660885848426
73,703.3413269193617,744.5565586369637,735.3625265929395,455.62327493404206,865.245235979923
74,738.2669978366532,799.0370098181284,715.6393755602995,592.1642038335741,869.6212925431483
75,748.9315167078687,780.2697984882435,697.4351975789564,596.1769603021859,829.4480127013462
76,593.2634338350756,793.4777519099849,693.7050014918152,579.1874621012843,796.9366487879278
77,574.2482564950061,743.6646101776315,643.883136003135,536.7108227539906,792.6101270178573
78,541.2147803485769,700.3772962951081,615.7499037014155,492.27750559005915,732.5204208740658
79,505.6167751053134,647.1493882037348,581.4208305824487,484.2602028374331,716.99084885346
80,476.7476270542214,650.7336441425201,548.5235067273973,497.01966959423646,686.0751198518491
81,476.7476270542214,639.8258409894297,548.5235067273973,497.01966959423646,686.0751198518491
82,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
83,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
84,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
85,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
86,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
87,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
88,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
89,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
90,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
91,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
92,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
93,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
94,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
95,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
96,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
97,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
98,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
99,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
100,476.7476270542214,692.7887424629637,548.5235067273973,497.01966959423646,686.0751198518491
