t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,4.313032541680204,2.3741825233417293,2.3741825233417293,2.3741825233417293,2.3741825233417293
2,4.807814868579332,3.673492900799912,3.1789816726068403,3.7101671820742292,3.620067553461264
3,5.032443291484564,3.9061285922241247,3.3189788098312776,4.091541209350987,3.9664970540091367
4,5.125937175746871,4.976439990238412,3.478791250096522,4.930756989872606,5.050372347707857
5,5.589600209557143,6.149848185700775,3.9036331893081733,5.950969789920808,6.173908049132307
6,5.705706817601058,6.102180256025211,3.9976323895716788,6.151722355003427,6.3220550424680715
7,5.8243966342912445,6.2683642736636775,4.607954509119022,6.302105928680852,6.503551615867006
8,6.406021138167797,6.667092676928787,4.838193112313934,6.522690894069311,6.555899154504814
9,6.576380952363637,6.737582357255045,4.947527447207149,6.682778882659264,7.006766493848628
10,6.758661836790895,7.170150286928289,5.160832721642391,6.958688773038428,7.227471195542374
11,6.946048320025109,7.377631928087974,5.407375717942433,7.152391892603401,7.4816423554612435
12,7.140663197155933,7.299758814282683,5.565014717151804,7.36155149344921,7.699274529138761
13,7.346223429059173,7.4659311993292015,5.940101501928921,7.575559301620573,7.916335250193622
14,7.417818730874977,8.022340095960557,6.235771483008615,7.7034404978533955,8.022366627932687
15,7.510506388007846,8.356093990154685,7.0898867479540915,8.036015077579647,8.37037823291435
16,7.64203459354029,8.569712112410222,7.522893743896574,8.358187098386736,8.337313830606886
17,7.813195891218946,8.727372580669018,7.8072708810241105,8.562510442781775,8.54234377155541
18,8.037163528934421,8.835640308007406,7.8034770027456934,8.482736383707362,8.84667522832892
19,7.744334311777197,8.925592956979687,8.579257021446137,8.592263379610317,8.93846146633737
20,8.376617208451632,8.846801981094396,8.664436671703621,8.229539509844573,8.859358696349423
21,7.533272559591999,8.669167789726773,8.461310654421709,7.669581849554835,8.730997439916518
22,7.375864018375467,8.705228883238176,8.377519984485133,7.49715402731364,8.708250694251065
23,7.131868459511963,8.307968476675335,7.966026513206426,7.125250455739388,8.32466070435829
24,6.898966605146164,8.13650056219157,7.455450656751904,6.827550960611928,8.125462785054742
25,6.687946446797294,8.03591366708441,7.173895348998022,6.400421974330772,8.068349014576558
26,6.4747952795418975,7.768171629582415,6.759309993227215,6.2377050015869795,7.768171629582415
27,6.269755892145538,7.46217972751246,6.286195657777141,6.139572584420804,7.46217972751246
28,5.995185132699141,7.237136988079268,6.03956483234507,6.023175709403477,7.237136988079268
29,5.824778624472432,6.981134817277595,5.644953156748304,5.6709571614324,6.981279907320041
30,5.745959118400667,6.698143419050192,5.210400338300365,5.47094463414715,6.698143419050192
31,5.589738241406704,6.443028084933668,5.264350225938134,5.203571289735524,6.465577743457771
32,5.438405453781583,6.2971175882679375,4.983766343254499,4.941581417087838,6.2971175882679375
33,5.296216412609519,6.039999407238298,5.3260234994089615,4.676429943785471,6.04184845107235
