t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,543.2693142927393,208.08655601031518,208.67737621835244,206.84834615912348,207.53321943078896
2,545.6025121652145,363.9142421460853,344.7377649845303,338.9621007260738,363.9142421460853
3,547.1798793979285,396.49479608852687,367.10712962008887,341.8145177456317,396.49479608852687
4,555.0307688301324,408.8858407145067,414.14325594777023,359.02847928214806,408.01066538473503
5,542.2610862938876,477.40791065975867,481.76492956887296,384.90034613653444,473.9142016947521
6,545.821537771738,530.8769480493436,525.8464847299829,401.3058958582421,529.9903301516083
7,538.1858914661743,552.5800266045396,560.6903387436272,463.62343334673744,567.5872736331397
8,516.911416798697,561.0902909073912,568.1915294324864,437.71515837865536,615.6451454788163
9,500.53967999583836,554.9542295061417,570.5767543085477,439.7917725046709,577.256252240145
10,476.6662094780193,544.9176275595388,499.78780728545627,486.63026579396444,572.4930702481265
11,456.28895406644864,489.701441136597,515.6322776836271,479.32354764967636,548.0183207047697
12,443.211795212542,509.28294984167127,477.22949775462195,441.1585355769254,511.6780052772199
13,393.1212731925162,548.679628929437,525.0746644563694,445.3488142708339,551.4240054868628
14,417.59413018795675,489.98515983470725,539.5298530338513,399.92081535842055,533.2501093081381
15,417.33961657879036,518.1237439134394,547.4074649319139,325.7191735993799,511.5774672243832
16,431.6387035394964,524.9844474285404,543.1532383313549,306.3461238437702,531.0595214705645
17,420.8347960365403,508.30153182678214,531.435950435475,302.2186388941417,513.8332067062072
18,413.3326429077558,483.5276344822254,542.4262930349646,344.18366757153376,496.29437054243056
19,406.64445039936385,502.4926500779023,528.3564518574158,371.8143407521737,486.3128218964301
20,397.5984120106272,455.14796877194425,535.3150659143413,323.5712595740715,501.09103675035226
21,353.20088724666743,520.1365836606332,465.5557580141789,312.14111149266444,503.0052924333928
22,343.0592607070025,479.35756992808336,500.98311014335457,265.9412276235157,479.35756992808336
23,327.306783028375,443.1902559007106,508.4140139088669,321.3222956231574,464.89861405822757
24,316.27703268314013,453.9415126729265,523.8612542285622,294.21260072976895,453.9415126729265
25,305.3070480122878,377.67581042266784,467.5516203345504,272.0658183234263,413.2355194033482
26,252.82736069447097,361.15758320339,474.1759702317507,232.2934937844082,383.0198974121525
27,248.0186844399318,345.95978761478597,425.67900275165675,222.71600479629004,344.51052424115505
28,241.82111492849427,352.7618766770971,439.1257390453404,223.22562361150494,330.7133199912082
29,232.76041272642016,356.93541140966744,434.08462421358166,190.39998105806518,348.00842573530986
30,243.03250190808498,341.20739759288847,454.9907312781149,181.31219547168246,330.96069554145123
31,231.81404102768997,321.8164359594895,469.11531966023176,184.8327243061693,342.0709416117155
32,234.66251295412945,299.1063661412479,454.15001585253873,166.668326421045,316.738829192176
33,255.11333862126259,301.3406741640489,457.15808112947246,177.31135766513302,355.9869919822538
34,244.27234321045717,325.18286771772296,451.6825158116196,171.16450247614625,338.3461472122279
35,231.4887836812159,319.53930564248316,478.6241559262687,164.19433471139396,315.2676170584992
36,220.51761143930165,313.09022241822447,469.4770086678408,172.7072302863584,307.2877098719771
37,215.01732709544928,298.7223843388585,453.2032729056119,173.30658986995618,337.9728558841565
38,204.3345143176678,293.10538365722067,466.1316221169704,201.6092101466511,329.19148396679884
39,208.29837635793177,326.90122507084703,470.2160356132472,191.20817003984078,321.18304373248014
40,205.07521244550918,293.5691996479403,421.77385309120683,187.78308561805034,317.60064660487734
41,206.48380704340667,327.9008004814936,400.2784341781957,193.8866600305139,337.122496604321
42,209.36430851536588,311.2487561929563,407.8727874672794,183.6673098934292,307.2997259056797
43,218.22238112578268,349.87372705049734,399.4821595097386,246.30073902084388,338.9201045962138
44,265.2550050380763,349.2225070813528,421.5339789652803,265.57294526161877,336.1473810965626
45,283.56236576549264,351.92465189439173,390.6128160197092,271.4185269323359,385.37864170832233
46,287.39933198504417,345.43988597173444,423.59188161963965,261.0634356435092,365.50890794535997
47,315.1825358067971,391.77309008176684,411.002919163338,251.82803976265487,375.0013862370921
48,327.407792956531,415.44943589643987,404.11157061263015,274.46876784353094,418.6154394595197
49,319.27260030429807,427.46271520633553,425.7287314505749,276.68414068121103,418.7438905804606
50,315.4603152949586,403.5211710238859,378.24708261478025,268.47477244370737,422.8198120950818
51,302.5534308428649,372.30755528727116,407.3606367054536,254.34945047786238,392.8162771843197
52,294.8773058681459,371.3797867955074,430.06443193872315,244.48857930919164,392.82696631916707
53,278.9258077613736,368.64742656198325,405.8617149683681,216.15478397123852,388.5589271794585
54,275.5655764912942,378.62639447717316,416.78083686530044,213.98789365601544,393.2397484127117
55,236.7761502247844,363.80883951779424,424.54048263691806,194.4418831806083,368.5057902148894
56,228.4183578794295,356.50022033845835,393.43761817156695,197.27472350676908,363.7667272204288
57,193.32313331868298,350.7327184513289,401.92948453297515,181.9878976906929,356.13278937819445
58,162.3053401672309,344.6178645005406,398.29807169972946,184.11841824713858,329.74859645560304
59,151.52111073688684,314.13099559149896,369.59442407466213,160.50427553129433,315.34594548491634
60,143.31364744450175,298.8544052570759,381.53211948483954,156.2278766342318,298.8544052570759
61,132.4542144004707,273.04619004254715,366.63988079915146,151.64957330439123,271.3921778411021
62,124.93333307381579,238.05914289185856,366.56520737052574,143.23888984615357,297.2867022752475
63,128.85662258562104,267.5712848492217,375.3056771762913,130.37974302122896,304.20234320954114
