t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,13.711278203417212,1.5614062431702278,1.5614062431702278,1.5614062431702278,1.5614062431702278
2,13.763346433310431,6.747044725108436,6.785109514423143,6.563469605875413,6.76053720721784
3,13.784117377477218,10.11379646758649,9.298490108889474,8.815643748572088,10.11379646758649
4,13.77067849230059,11.434834524486673,9.530000104609622,10.206291921725795,11.434834524486673
5,13.688218082258704,12.648401490914189,11.234732484560043,10.956377071217041,12.651383139167189
6,13.385445008635296,13.308699055790717,13.015519426817209,11.330451810394964,13.329906701395876
7,13.059621115920697,13.681301671463622,12.931717375280936,11.407097108808436,13.71720205772741
8,12.662074276112946,13.85933588118324,13.335070750219543,11.505900574237476,13.886156643772072
9,12.254124647738896,13.734469109964078,12.627297026290186,11.195971842680565,13.798234407425678
10,11.854414087441251,13.607924087330964,12.116120771221075,10.131282269130043,13.620212357354163
11,11.466951378657608,13.370210987419409,10.984396132156931,10.165982197599126,13.33267186513873
12,11.20298213250131,13.066344080420638,9.694163742628879,10.169929063380208,13.259423136858823
13,10.994174665122934,13.09488410088104,9.048142211899279,10.052012646817465,13.168722895842718
14,9.752449992260681,12.936632909201052,9.186682287531442,9.958389035850347,12.97988670935693
15,9.750233984331938,12.623156327599798,7.561319928031995,9.600403877437559,12.661932937491187
16,10.43915362492465,12.603644492960736,8.58555848963804,9.55695643863385,12.639572719458704
17,10.140883935425315,12.581232351197494,8.322842865947372,9.63326057784879,12.617894389343348
18,10.211264340527922,12.435613307164553,8.264111143950869,9.470255427476216,12.446907599847256
19,10.183790594871903,12.40792938045832,9.5480003955447,9.610244157513378,12.454098398103998
20,9.936077319859953,12.443267935070425,8.954307188592189,9.625340822640384,12.439110930625342
21,9.751106264576743,12.207422938861805,8.711866910913812,9.502621585961805,12.326203077406706
22,9.310803611852538,12.097575469259022,8.786054092471737,9.295802032114265,12.117689168108141
23,9.113256121504097,12.033203086426825,8.799181257609503,9.334092339410235,12.033203086426825
24,8.98891169079838,11.971509046068018,8.66515396892054,9.359943398308095,11.991211213382286
25,8.7457834766531,11.838929634015756,8.60598511238164,9.303891891551816,11.838929634015756
26,8.46159183172244,11.620412389655328,7.479565486484486,9.173404950453834,11.717155956401934
27,7.482867911123531,11.417613110820803,7.492441775854011,9.12728196696698,11.634435233222812
28,7.329819896344032,11.304652827083336,7.2639525513869705,9.031525018460469,11.392390588614687
29,7.140270853678726,11.279590297197325,7.147264185047668,8.8702883273685,11.39029362126166
30,6.921800892557892,11.232592998542165,7.098936888232306,8.72804901019634,11.20072072980555
31,7.2068346607236595,11.129363788535109,7.039977222283751,8.524648425076943,10.908711390643251
32,7.109382735231914,11.025943973879327,7.166358887021753,8.617498719395254,11.156905134121008
33,7.026421085232884,11.201727287651755,7.130124183875794,8.646046994326165,11.212168530208015
34,7.1454739231966,11.12735642584584,7.069277624675392,8.52887319308752,11.171364293785128
35,6.271557892020605,10.955701876527154,7.850705358553855,8.311586981635728,11.042991450407817
36,6.514088012547514,10.982290934390903,8.659824967756883,8.520268379567124,11.165749491692658
37,6.659907088899495,11.08000957410122,8.586391471540766,8.52762492529712,11.221316323204139
38,6.364335992971443,11.078078958702479,8.116954966008475,8.45280923920079,11.157026368460876
39,6.545760724115014,10.788815333969307,7.96678342873521,8.305092589415022,10.887936838079295
40,6.480390099661161,10.983458157410624,6.884200642859044,8.464149778410034,11.047448794105762
41,6.3101736800245085,10.92435304299887,6.688698145892007,8.525861652324224,11.13299134815723
42,6.45566235056156,10.904552572676689,6.592245357774704,8.334064629844972,11.014751717321051
43,6.585282329914721,10.857949462499834,6.581049385478005,8.105475806126138,10.948059313585196
44,6.597273252915332,11.269101573860874,6.611753181323148,8.664846204324665,11.181159539907123
45,7.5841219818370496,11.396332554962987,6.671670130727562,8.810396796690506,11.398287859998982
46,7.85877320402872,11.322866256879111,6.624397308293425,8.779101992544579,11.421798297666989
47,7.752049593662179,11.118180609951368,6.608510213426829,8.63610121054614,11.253433826295796
48,8.599126304171573,11.139312798407317,6.571107423927664,8.623330804121291,11.369643094442702
49,8.67476533229427,11.251025676642167,6.6314516374095245,8.723598367244216,11.49058105619615
50,8.620292648164968,11.366187251724169,6.680497742247343,8.89600786310587,11.401593724133978
51,8.45661989006962,11.384064088721555,6.581031050143077,8.950627851362961,11.358640296782031
52,8.232522942577729,11.307413111794522,6.648378314448023,8.909641591398993,11.434916042874832
53,7.971605890658099,11.370725168921501,6.76647209274513,8.79391908476232,11.422955370522054
54,7.633958087468075,11.227915343691704,6.696732581614894,8.728754487342792,11.363931946771208
55,7.1932999475998125,11.195686931015572,6.7015094203203915,8.634546205938568,11.233534234098045
56,6.836704810479498,11.024321635158744,6.732431963036416,8.548895065977987,11.028421042134989
57,6.633044946356137,10.977270114838552,6.513340081793151,8.451122473377525,10.859959923365823
58,6.004817660259691,10.776756117503663,6.537346866114109,8.288991306930086,10.75587810420687
59,5.755466396810535,10.648426403195923,6.585599913692838,8.135280585849618,10.617853565382658
60,5.503654571436414,10.634202545131425,6.587455518503229,8.112469843912146,10.588551791994167
61,4.965273589288102,10.616531971529966,6.625310656884574,8.08597010482617,10.616531971529966
62,4.752317953223361,10.51586411979833,6.541046919408428,7.891789303693605,10.427863921486495
63,4.652359736889779,10.243881200839295,6.59122162988447,7.60189213763627,10.226808769450344
64,4.5786825261677855,10.265865216367212,6.564680846530503,7.939824015345977,10.367759222878124
65,4.217088985505184,10.412718343074218,6.470220977424348,7.936176287329269,10.417638866079356
66,4.75057212625597,10.3550737512713,6.6068290273398524,7.812866599909431,10.373529769836559
67,4.969974383004765,10.384449224508199,6.533174368897623,7.813975023202204,10.411657536238451
68,5.162140397276555,10.562752215734019,6.600519049078641,8.026543611485728,10.587187314987048
69,5.246672639691036,10.634540189208263,6.597867853926892,8.155768756995908,10.634540189208263
70,5.709879182553142,10.66398402863693,6.574046347871564,8.235522519714031,10.672856433939856
71,6.314641439361958,10.816057179655912,6.640083748112491,8.307991910201249,10.816057179655912
72,6.577766529626874,10.964734514226983,6.664545462264368,8.372018985825088,10.968540339258656
73,6.547727034719008,10.989778698841935,6.638326994097012,8.400904437332791,11.069619569105031
74,7.371285297541007,11.159694815934943,6.59350358902279,8.537559204578596,11.185640638072442
75,7.729073699609221,11.236231876436285,6.512323532921217,8.624115291924285,11.26937169348202
76,7.9488447077902125,11.19976735585694,6.392409870808774,8.668274124498982,11.376946676245804
77,8.124091453387566,11.320315888414545,6.601880433071531,8.785265469045111,11.35806462207403
