t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,557.2317437769028,560.6112900284883,515.9293803871996,574.3999013923512,560.6112900284883
2,556.8312388021689,805.579072319718,672.8804496443754,793.603075015974,810.2411553802384
3,568.4813681542713,804.1340690167052,708.8148139763364,774.4461797508593,787.1930190740171
4,585.2966761369303,782.7000723599892,709.1029382050115,758.753277023547,775.1525015865775
5,602.378254751122,818.28205772534,692.2143578083135,752.9048770683569,821.2260048248088
6,605.8432076256111,859.7745976495606,702.5176452316548,730.326846789049,855.0978271927181
7,607.056659429553,872.4203568773233,681.4355902411334,632.9782136891615,870.6433331122737
8,598.1743528142397,852.3909705043883,759.6040752264136,639.8061466903818,891.1999238444023
9,621.9666308328705,855.2319914960349,774.5028616326653,647.4338037317785,857.3799090458217
10,633.939828418027,860.8507762561338,816.2262882854765,650.748623197366,862.7689501609128
11,645.7854191343811,839.080245614709,796.3729937789828,654.8548435865926,825.2060801600146
12,660.4663320527646,858.0656445931922,807.5815814662205,639.2938678474572,858.0656445931922
13,667.876915830406,847.5853911710341,806.9648712298715,640.2033286828877,846.0658015496216
14,671.8949403715128,802.1374083808779,802.9966580801845,624.0268454166734,801.3658601352294
15,688.6534575540601,807.6469779627549,859.2576511603324,643.8812014700407,804.817758596161
16,680.6538191614532,839.0276216697406,832.289461235864,619.5177714748833,837.4843264723357
17,679.3519177253038,832.935794240462,850.2964979317957,623.2183001277249,840.5288559867757
18,672.5050109226111,824.4535451748034,868.2877196253434,622.9213999670766,832.0995422316157
19,670.1065676004484,829.8018577787427,869.0297113366959,632.0297245189395,834.0342258433469
20,669.5270500693946,851.411415196964,874.6260621641617,642.0558341395495,847.5497411367278
21,660.8810174462096,821.6735240993369,864.303973849273,629.0622152084906,833.8216733329992
22,649.9853579823985,838.0661702893791,754.9637938739143,609.3790364802846,824.7380082129774
23,649.4886469382407,862.5969439298008,766.2319366477611,606.8009273052595,830.1675560772717
24,630.3617627008168,857.9461844177747,730.6216376255469,608.5542997297797,823.4054024680228
25,627.1237439624849,849.877724267487,746.9463928848218,626.1309761706576,799.2117057180833
26,606.9218359284436,831.6107031389829,730.2659460547807,624.6864510796522,810.81826904691
27,622.3416924337783,843.1249706295364,756.2774791452439,628.202546895308,846.023276393974
28,623.8130741763443,839.6725110324584,725.4531383052628,619.7150829871615,839.7125349361041
29,628.4829925640695,851.0563084166422,719.4591012006808,616.4115985515443,851.0563084166422
30,610.2702025037164,849.5842191127485,704.4289963739892,644.1214137670885,849.5842191127485
31,612.1304453140726,842.7440049156882,746.2051110648642,645.6269076381053,850.8703924185568
32,622.4074781697657,833.0941879750633,759.4045834242145,639.0436542774773,835.958406720221
33,625.4319086360351,822.6739061523397,718.7140820716412,595.4255167450267,825.3883260082771
34,624.5356531767196,833.6371497305856,699.7668385419595,616.6801709557981,823.3428295715645
35,630.3644103684238,840.2475330699,720.179075050705,623.629618589419,838.7906725286332
36,632.3878814177134,846.3034195563944,729.3295914826772,614.1916859267255,842.4132326098209
37,643.3587090637714,845.5878055248832,731.5491889806418,634.603208421388,845.5878055248832
38,640.5904552129423,837.1766371522446,683.195800586643,631.43390445462,837.1766371522446
39,647.1797421115963,843.8552105800077,701.6886000105704,637.711240590689,843.8552105800077
40,639.3303373709587,838.2197271825335,703.4649878243084,629.423128379115,846.2425385898028
41,568.0832430837572,839.9615761491186,717.2292612513496,629.5146641838815,843.8328172017667
42,563.2264525911319,838.3758952795571,717.7988399932146,622.0091784422573,850.8056725382673
43,566.746390811029,850.4260841288362,736.7824241808333,606.814169358379,865.6673307049117
44,558.227475614659,864.0525684585317,760.1645855844955,587.1264316750078,864.0525684585317
45,537.2592450853613,847.8406695602288,743.9971585236372,563.8304014183611,847.8406695602288
46,544.1800487110512,854.3357352888537,711.707600014733,573.8885562344908,855.81302414791
47,529.942649469641,828.5310534313804,689.0077702592686,591.5260779267388,839.3912507186984
48,585.6096841825884,853.8101150881009,697.4194659052228,684.1427875914259,829.6675846537933
49,570.1603101332275,830.5520093925485,695.0514852634958,692.0981390100237,814.5617515004654
50,566.7686117242788,831.874469904423,704.2340212809222,678.7093930213132,817.6460050219869
51,558.8592220868709,824.7107339490923,702.3757530922612,660.8563424327461,810.2175764664421
52,561.1253245946712,835.8883738557126,704.8960598722731,654.8327614493614,830.9487427477138
53,535.0865846595699,827.5135947128464,700.7806168430983,656.1978284466529,810.9324070790746
54,544.2674691163143,842.1505378506162,706.6573727201633,664.3936585202231,826.8813553755169
55,541.5378766903543,837.2680609937916,723.4456796780138,678.8813972997117,829.012883821664
56,548.063013762519,833.782530752075,717.1646700240544,685.2192764731766,819.9157015391718
57,551.5157350969976,818.338335290785,732.7758013310763,696.2977202046865,822.8311500807854
58,545.9124977096676,826.5154865230058,732.8961769193772,692.8480879293762,828.9156089806052
59,540.044231837845,863.3958518982246,731.9078545936302,700.5857769818049,839.3233937939694
60,533.8872033301684,591.7526883575861,521.1870588430143,610.3903391248618,591.7526883575861
