t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,341.75168834256044,131.67412298034353,124.73517173731959,131.67683070198504,117.7536169557844
2,345.2896746990977,141.0736152488651,143.45372085562468,136.53735639539246,140.09673444709188
3,342.2778147396658,213.8679340614391,208.59778778644286,213.8679340614391,210.95530576056547
4,344.63723740404424,261.66072055503656,271.79917841968216,261.66072055503656,291.29055888437307
5,346.73697416898244,297.2711220193809,302.48618205522297,288.48443105373735,322.37425247566256
6,345.5439776107943,283.319901165099,299.1177860874554,316.2672041975061,346.3089123850352
7,346.50974117585315,321.2138571163565,318.66578731528705,330.3717886475844,358.93430788509187
8,348.51671137697826,363.0311697298729,326.6707698223078,325.79422444767914,365.5694016664084
9,346.53035178185655,357.5012176852758,336.4434987821988,329.7003310296605,362.22863301371854
10,349.08285749572934,370.7747608950011,326.979887214113,339.83806852366206,365.49121313008766
11,346.95496395702077,351.7641705306144,328.2536961132858,324.69853131525934,351.7641705306144
12,344.97757086925145,365.51397654355804,332.138602038304,338.3842245610105,365.51397654355804
13,345.0145664777834,355.5351209535482,324.95540052956943,343.09736723895406,356.51006636287036
14,341.1530423569679,356.2815195292132,330.15405438477734,333.7757738470901,358.4830328103128
15,342.12093813728393,355.19744252291423,323.44048933443406,334.4200536876623,360.33160038588784
16,347.6424367059497,349.6312960836898,323.23315048084044,325.81852998313025,366.0631757738302
17,364.6726311265796,405.2194038819456,374.31068982877196,324.4915999464676,404.1526624659607
18,352.2752045460135,404.22523077823973,376.7469574267083,305.21148949798203,404.22523077823973
19,339.3665940909129,426.4743619600431,397.59595275745335,297.66020972742785,433.3619898744987
20,333.2231864371238,391.02809904884543,403.8098981721004,305.26137080676074,398.7795432302029
21,330.64191812908797,393.2007165202421,389.87439819005635,313.8639499901885,393.2007165202421
22,311.22156543626903,395.3185572869805,372.39941597453077,312.4135683451626,389.51841774501463
23,287.436218172838,383.9725429985556,357.7902346942561,301.36390667034357,377.41580528187313
24,272.58481003090867,376.20880135605785,334.0716166405981,297.93634974205884,376.99664849902825
25,263.01752328037554,359.4570636928389,325.65437266243543,290.62329679923823,370.7108444906533
26,260.90338859634056,357.47711528773146,325.1859272134032,282.45022248745437,369.73351893393703
27,249.52582304612577,350.9827559226594,328.4453038071717,280.2771086903183,360.72351482811956
28,242.73792745638892,356.7543937995681,313.1184296069726,272.21371879036,359.21807767539707
29,224.170195351276,349.7623105634524,314.33641954211333,269.3378728672907,358.15789334939376
30,215.55819848904366,346.029965282147,314.8410677432936,264.754457738489,351.39332143999843
31,207.99955641880086,334.957228845019,311.03017197914113,257.49023582544766,342.7564146846377
32,199.73932573327846,329.1918318408291,303.24667815453074,254.70407529258742,341.67108584535896
33,201.9745426916997,332.99030891701165,306.36204055570545,251.08627616626558,338.0799896393045
34,199.85048548429785,292.71845271641615,306.84506633501536,174.88376032271626,336.8665425940707
35,194.18178846224205,293.1307710982764,287.15645297181624,175.47039435073737,329.34449651221814
36,185.23803977897535,284.6639240445703,278.25889577814786,180.60498679814944,326.4094925325963
37,173.09216509834798,273.31241068705845,259.7893007794829,165.5799754163527,324.0853969579267
38,177.71159939901716,278.72591572600334,258.97766734404723,162.41922744392525,337.0387887219452
