t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,3.1810228765777055,0.7127349751752251,0.7127349751752251,0.7127349751752251,0.7127349751752251
2,3.1779888233032514,1.3500662995779646,1.3609357108962445,1.3478613700196442,1.364380699282856
3,3.1789209398643923,1.692283573498572,1.7073733184749356,1.681943717315123,1.7399886206487776
4,3.1805761503084526,2.1654556455158875,2.09174919297493,2.1654556455158875,2.3632015994557705
5,3.1820334153242094,2.502599089693622,2.5120720451929057,2.502599089693622,2.7830025368397933
6,3.183167681190358,2.6433638726436492,2.575563191720505,2.6087276086338402,2.970116073412502
7,3.1841911726996357,2.8603198062827437,2.7330248258467735,2.8209263803257327,3.1441090590374663
8,3.1849789308666647,3.039212400711146,2.790579608338871,2.8832238053861197,3.173575842484758
9,3.1856278298056457,3.219832647889955,2.8126550863866333,2.9025274235964726,3.1391618756671056
10,3.1828954840313806,3.2255207472015415,2.8524083855852775,2.900363006299242,3.1355052720230514
11,3.179187530108334,3.2156917574072765,2.856695541209009,2.8979012586145796,3.202569130766242
12,3.1752546092338965,3.2203327281176053,2.839265333300272,2.8917969803184405,3.2203327281176053
13,3.171108744129812,3.216408790114738,2.827642023846436,2.8961209198115805,3.216408790114738
14,3.166746871037232,3.20327609612935,2.8417690622078,2.921571942590672,3.2136970115922376
15,3.1605512359708534,3.2010973419025825,2.8476600803302325,2.9115325423923535,3.2060986005345034
16,3.15643463018813,3.1973223662796797,2.7682658980068315,2.892049997626693,3.2103235044426843
17,3.1275017720248623,3.16598569329223,2.7431279129079913,2.734397732711449,3.1783982518987144
18,3.0891062266543754,3.1149958703799303,2.8362602813939817,2.589472703952588,3.118107315618028
19,3.0386399348046815,3.1280309933713557,2.710474370810965,2.4450591588730823,3.1280309933713557
20,2.9561031521457224,3.046027414323633,2.739353801140482,2.3245318481284962,3.0471245698162823
21,2.879846424538671,3.0390189964654444,2.5801011494933572,2.2864965285083363,3.0404636301915837
22,2.7976332265839687,2.987481336507294,2.4848306581750537,2.233510503230997,2.987481336507294
23,2.28984797510919,2.9194714139046645,2.3457703107685304,2.18940159969856,2.915848442080763
24,2.0813248839025116,2.8542228530114833,2.3243733469602006,2.132392659549576,2.8541468301248694
25,2.0558750949338505,2.798833273165283,2.1986862485221383,2.0773470769675226,2.799817530371784
26,2.0292622832758864,2.7229802334501794,2.1687184681603706,2.0290774490853587,2.7444694090902653
27,1.998950937492142,2.666449610005524,2.1751180166656963,1.972266808404258,2.691445026098081
28,1.9659274801734758,2.6168440445456853,2.1703213521125977,1.9304350595932196,2.6397559337859358
29,1.9305240892861713,2.577797278411461,2.1386056851087165,1.876680330105997,2.5987478836208115
30,1.7858994862202173,2.5445597207633393,2.1148626317125774,1.8516831948516386,2.5649930500643974
31,1.7697488682929214,2.503356657818002,2.1464995556092226,1.8062665902126598,2.526307989834056
32,1.7716828404397849,2.4644002300025067,2.1331167213300026,1.7769094979813007,2.49307415903989
33,1.7703834627547341,2.433189327913895,2.078807603121916,1.7211792582727432,2.465735288692512
34,1.7578168310616262,2.4106229159025943,2.070653497373637,1.692661859971823,2.4426414401550374
35,1.7290691511452936,2.3394794678866413,2.037345642810625,1.6258298301331964,2.4191190588656135
36,1.6686030266042144,2.342265314790119,1.987718329523906,1.6500218035339098,2.3925306328976297
37,1.5979126031219297,2.3502357130633613,2.002347669080411,1.6967561481076632,2.403633677843662
38,1.6134864471667059,2.312879802434881,1.963470843710654,1.6284659508349424,2.3782173975316554
39,1.6067008206590474,2.3115601443229203,1.9275740621385402,1.642662110815165,2.3754093821656945
40,1.6181619296498333,2.298699009863989,1.8727611917759441,1.6450407752184193,2.3885939254378235
41,1.6717118252777452,2.3268121346866737,1.7951183957936807,1.6746618006598974,2.398765108820826
42,1.6874164861536685,2.367979989465496,1.8310861470027335,1.666148741663945,2.438702631969826
43,1.695541410251942,2.4095637563126906,1.8220955839546749,1.7271475055497179,2.475285084986031
44,1.7027803663129875,2.4418363945838077,1.8862144250559385,1.757825226823268,2.494659615786723
45,1.705032218423364,2.4840920855183293,1.8783023285911324,1.809144325981241,2.5199844818234456
46,1.7352147179994983,2.5139871653153056,1.832643080702842,1.8424650057815137,2.5618707100714944
47,1.906333856961042,2.5553575969075895,1.833700140883103,1.8807081699528436,2.6036880560998936
48,1.9493528572718504,2.597180210273416,1.8894041309882008,1.917242406738631,2.638356172864314
49,1.9886571672931437,2.644821219256574,1.8709829104259625,1.9576037114901192,2.6873373335724686
50,2.024573479270659,2.6981686104159133,1.8366664042106902,2.001444396058754,2.7321402706306124
51,2.053492836720757,2.732858977116919,1.8960498592558497,2.0464296537829214,2.7859927923044334
52,2.2125182582087466,2.7953557228702337,1.92691089455682,2.09508997467916,2.8444815969601946
53,2.5344651072723496,2.8592501689721357,1.8984444614806164,2.1396161307643076,2.897322203417239
54,2.7924840842496828,2.9910599326602094,2.143864848080779,2.1634293725726343,2.961102466730783
55,2.877980224749032,3.037320117647582,2.3044407038675887,2.2431185635414925,3.0194258636042117
56,2.969020310346291,3.085775564094772,2.15941373811304,2.3173534008972365,3.089312245374342
57,3.024174509520554,3.1327845189359063,2.330209639308165,2.3612989336539183,3.1181376819243702
58,3.066089739202508,3.1121364305697794,2.440054306358867,2.306804601835273,3.1395577385660025
59,3.0879258422080906,3.1472341372565635,2.4863846218228227,2.3526080234813476,3.158464211266308
