t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,357.4000483818118,180.691199244941,183.53305685402304,180.691199244941,180.691199244941
2,363.12429529614013,273.00418409423946,272.25437169217724,271.4255000080968,273.00418409423946
3,370.49867282490146,367.3881714124142,362.3342568704011,363.22734858992453,368.86172699502686
4,375.89778983811743,393.50512936879875,356.4729597021655,388.0223127115626,401.1615368048582
5,390.1337278745918,401.98798935809765,337.99742733595434,370.21668159725556,412.01196658469973
6,388.3688833106168,408.3991169637286,335.67260551420287,365.0982932746778,404.42081481645334
7,388.1543555201505,376.75103036183253,346.644013037635,353.1813482150372,407.2923868164219
8,387.11531577321006,361.02202781259405,345.791714187226,359.7145086740619,395.96845329433586
9,380.6426196423602,394.3289335010485,339.02083618382056,352.2158415838527,403.6362497138474
10,376.6342367083685,393.8760985757333,333.20880146974366,331.29558119940634,397.59036254706893
11,367.92538719758653,384.55514543735416,331.4769546536439,351.99362318135445,405.9714716521748
12,351.0906925604647,406.2847828332864,309.0367579557517,354.9119509309556,401.4765737712356
13,334.51744808546,399.23266667375003,299.0987921914693,356.47351891322046,389.5403074880609
14,325.18295920223096,402.732598055835,298.46238820737864,354.61340710953533,391.9377610699664
15,315.2462447970726,392.65503177533316,280.9070648654197,340.5082465928739,392.39998652818895
16,305.8671039132249,388.34659395846876,278.0993871091967,335.5634824174356,388.34659395846876
17,294.2005610692836,377.60263304659986,266.42237570322936,332.7501458432431,377.60263304659986
18,290.21717564546674,372.2018778495015,270.93101834615544,331.52276393112794,372.2018778495015
19,283.17139821687636,364.9766117210464,272.37545356960277,331.2540190859483,373.9164492556075
20,276.3253001509595,353.41099854975903,266.9768814346914,288.5036306277546,379.7974254476981
21,270.35641658060575,356.57296640024487,265.45791025262713,300.35749364490647,376.4145867697988
22,263.2743775370852,353.00130869487157,262.79988498015405,295.1674180111012,372.95073782003453
23,257.8832224615896,356.57966088393636,257.65839361556186,316.8219285720601,356.57966088393636
24,253.28685069759976,359.97432361082264,262.65648649539907,311.54159205030624,359.97432361082264
25,249.7089425858835,354.0915679218429,260.3340483452833,307.9393121969391,354.0915679218429
26,244.2873902813905,351.55370047270117,262.3373323000911,301.960707634924,358.34438940597624
27,240.66574197952852,346.7149275426716,254.19462218919853,293.51837722521384,358.2222036354608
28,236.42369716046622,338.18311078906925,253.57801119449346,281.9724976231924,345.3166818025378
29,231.71856093632977,352.2290268907169,237.3991626060121,293.5085884164962,353.58533214697127
30,229.39705361340518,335.72128247308206,238.59731081339868,269.34518574624576,349.69153893689224
31,230.20269844495604,373.1012124878436,230.29542404508672,261.96288579856173,370.7505869949552
32,222.5905250690295,331.90839069395605,227.021385935623,257.65047911231625,337.20965243946233
33,219.91040528819855,313.6576019962447,225.98565934080474,259.6532930764321,333.2511864934894
34,218.47058544300808,280.0862223338454,228.01297336839005,261.0859779798521,321.1499529452253
35,216.83313480775368,355.6043447032196,228.33139732714363,265.2236072080679,346.51457605130196
36,214.04120011345913,320.5818112735656,224.6278588654517,210.87401465691326,335.2785781351544
37,213.52519689504396,332.4049144474444,211.26620258074627,229.37015146759344,332.4049144474444
38,209.1166772190478,317.0885559399577,207.59704444077315,222.01457247773408,323.35490365815474
39,209.50826976661685,323.70083872620296,212.0684403012643,209.50922232101354,334.61845451952195
40,205.3102929588595,312.52783174169423,205.2505518867949,200.46283598360412,325.4532523686484
41,203.00808993008243,320.7817115707744,205.63665542382196,226.44828500641992,328.94461980739095
42,202.90363054828978,321.9246228503551,196.5850926256578,224.14951890306347,326.8033844141722
43,200.21212229343928,313.03876812972766,197.88130885762732,223.32020001832436,324.3421191952231
44,196.76269807477902,322.91293060739076,202.12760739078607,225.55487863772575,322.91293060739076
45,197.7911602268639,319.84424667872935,206.7369173446839,226.90418679203984,319.84424667872935
46,193.906996202917,307.0774273186971,206.1588423410707,219.27218461176216,307.0774273186971
47,191.7872696127795,316.5382412124787,204.58799352134386,214.09126313904557,320.278700671383
48,190.74251038962737,308.5249674647397,202.78985875705024,202.4945401716373,316.25737508799153
49,187.68514152479545,306.638869863166,208.42698790770805,196.6542696947912,319.30848107980233
50,187.917937533724,312.15544282305154,205.64298760582906,218.78263951674077,312.15544282305154
51,184.63528984404962,304.99406994242577,203.33483251403217,217.6272681485093,308.0761551082073
52,183.34378103708815,308.13889139720754,195.54884613750275,214.9716962820991,314.982667427243
53,182.0706447986289,310.2364731448339,196.19168710574675,213.84494336349934,310.2364731448339
54,180.68197920333157,310.9208110028423,203.98596831678205,209.34392745111325,310.9208110028423
55,178.60512535658378,302.3188910213421,201.22594158437877,205.767416773506,302.3188910213421
56,178.3273572181659,300.86003614932633,208.4562297258915,210.55982097167168,301.47892089475346
57,175.71342927199382,304.7036402085535,204.3483782902689,201.83548316493912,308.6584287507436
58,176.21279664391864,300.79799863762406,204.77562573889156,195.83609217394056,311.5343132841313
59,172.95642527081932,303.0560312227033,202.4126959864977,206.78471172199392,303.0560312227033
60,173.7389355013078,296.50528809243224,200.83868388013158,208.95424793737763,300.9952146079042
61,171.62488298906868,295.09266386881274,197.89838179369931,207.33351030527703,305.32618014461053
62,169.83316192556413,301.34194511122666,192.1261253363557,198.19608007166028,297.6297512134153
63,168.25950745281955,297.2100917473908,194.18585166726555,199.15777480454773,297.2100917473908
64,167.13558251047374,295.7207157985613,197.8883210487344,193.55048165165334,295.7207157985613
65,166.7707815754198,292.86753038117484,199.59947939893374,193.3600215372544,292.86753038117484
66,165.54630482632206,281.14355104610553,196.22099965166376,179.0998801596789,288.3198060784687
67,164.72812415153766,266.7027355930465,196.34522739868902,170.97028309432207,279.71792731399086
68,164.83152873671682,278.36309086621804,200.30676014715053,194.93005981472763,278.36309086621804
69,162.77987192431286,268.9485044165025,192.1067912356025,195.97228262167283,268.9485044165025
70,161.4518101031759,282.0647648918919,194.2729876223297,201.9552043346491,282.0647648918919
71,161.11096846276146,285.22418912432346,195.86156474691828,208.36595149097795,285.22418912432346
72,158.58575527229738,276.9395947407581,187.9484685260735,190.16272150584928,276.9395947407581
73,158.10280489821398,270.9092258856654,192.87164245124865,178.62098228627752,270.9092258856654
74,158.48487394594065,261.31399198971076,189.77611779142836,167.49690388481838,261.31399198971076
75,157.4403851500064,267.0945286740018,193.97554188099113,185.1668946186041,267.0945286740018
76,155.95288776094097,264.651357232443,195.26706539875394,190.35978173320711,264.651357232443
77,154.0221073714266,266.4436404671022,193.4104477987392,186.80555143858578,266.4436404671022
78,152.06183620066608,268.31494935729694,194.16256771409942,186.2311899107375,268.31494935729694
79,156.26347109211443,269.5684243179402,193.11696647374026,179.56849301998488,269.5684243179402
80,66.79431460232469,66.79431460232469,66.79431460232469,66.79431460232469,66.79431460232469
