t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,3.1369717860929742,2.159229232842442,2.159229232842442,2.159229232842442,2.159229232842442
2,3.1171308321042948,2.2124119202828694,2.205704380586464,2.2124119202828694,2.2124119202828694
3,3.0963829550640667,2.6515261922401128,2.622322579344804,2.6450817558148785,2.6515261922401128
4,3.0734482295450753,2.9814985577909114,2.8737878415424687,3.009942361292816,3.018340028057785
5,3.0501900622595857,3.034055908406604,2.797911008769071,3.040238000739469,3.0535711931273837
6,2.9715293482273917,3.0399237549442786,2.718709024078369,2.90563965392666,3.052414560975905
7,2.893083659942425,3.05022376454676,2.7010194205345326,2.8823775227649304,3.0395871216492947
8,2.8699867516069784,2.97615093910181,2.673095447859403,2.9020352732801187,3.0134628415428604
9,2.846184273935503,2.8717420113045415,2.645796898834771,2.854642334996314,2.961644282555785
10,2.8218731554541425,2.9084407366793528,2.579199959021126,2.7981846195398328,3.004173992811658
11,2.736098838943841,2.936327037124747,2.556521298071381,2.7136183370161873,2.983839756031609
12,2.6503690479481383,2.9393673376189158,2.531530603293753,2.705940549594184,2.9942103193562986
13,2.6256548195857525,2.9695117549961134,2.4664986781028952,2.685440623190729,2.9713681499910662
14,2.600800385675655,2.947291728372928,2.449487595994015,2.677675298370207,2.9473342879272764
15,2.5758639386296336,2.922937494599439,2.4307535586147253,2.656819666293342,2.9210033799956
16,2.5508278992530418,2.896409960698829,2.348974025037093,2.6335224596427556,2.8944263674844275
17,2.5258595088657834,2.8689748653683393,2.3086715555860344,2.6078528026806542,2.8689748653683393
18,2.5010092546658,2.8425214780009194,2.2590802213402057,2.545554471806285,2.8425214780009194
19,2.476311987713511,2.813880947635957,2.2336743563217643,2.538661465320229,2.813880947635957
20,2.451796611275085,2.783001526613516,2.2070498737650257,2.507501543779485,2.787299432882809
21,2.4274877762583125,2.7498334423189292,2.1777892028977917,2.395759290001097,2.761612407160505
22,2.403393456734071,2.721049124278128,2.1562383707194432,2.392751033587028,2.7398105585253405
23,2.3795335540601683,2.688964237203639,2.2228540903293523,2.3632482130466776,2.7161811838764076
24,2.355925789518887,2.6906563969359256,2.2009238240146094,2.3479740490365355,2.6906563969359256
25,2.332579351663959,2.663425106092095,2.151983697293423,2.3266328653347914,2.663425106092095
26,2.309501791506704,2.639289604802771,2.1456547316883148,2.3034883914904314,2.639289604802771
27,2.286696993444962,2.602410208084063,2.135681474248633,2.2751842690112856,2.604412031696194
28,2.264168369370348,2.5524972673632784,2.1074332453254048,2.2527228393187477,2.5443872540421495
29,2.2422348429799013,2.540228052732046,2.095972581553915,2.2284419247690277,2.507806782242638
30,2.2207315251112982,2.49574437092783,2.10854142734199,2.192380962248628,2.4795919279266143
31,2.200020618307907,2.4537768519627954,2.111788757944093,2.041634334828084,2.4730588559337456
32,2.179650916734846,2.4413518926279494,2.1094102063702844,1.915788886139521,2.446093478222715
33,2.1595578641198405,2.3576491947622507,2.112445734740454,1.9002970327485018,2.387482506501165
34,2.1397400497817136,2.28787228736975,2.1092336466775143,1.9145999891057757,2.32460851752266
35,2.120194713606092,2.317147050752304,2.102436987856187,1.899321260611131,2.360259602073909
36,2.1009190090303274,2.387800436057205,2.082814655871592,1.7956575747125174,2.4169248203436
37,2.081909974053143,2.371352881270469,2.0785842527602147,1.68739547207743,2.406129411986384
38,2.063163536358093,2.3850588330593676,2.112019795274797,1.7399008682810517,2.3850588330593676
39,2.044675028168111,2.362203429497642,2.1104194145718096,1.7231984247120773,2.36393233784231
40,2.0264398669335746,2.3394532187266064,2.108947678465676,1.705030616985596,2.3457830023239543
41,2.008452751003222,2.3168401405301706,2.1065324202928073,1.6853548134078165,2.3284794558717756
42,1.9907806833508606,2.3096052745993094,2.1035071589066394,1.6683038158348944,2.3118469911208863
43,1.9734552722814893,2.294453201653797,2.0589689702637215,1.6593333384364337,2.2962045034945198
44,1.9564740237362126,2.2754093969437106,2.058617964131856,1.6493702869725857,2.281927714247976
45,1.9397467332959337,2.266189716376449,2.0561598369965854,1.638364394883966,2.266189716376449
46,1.9232172538934198,2.248900478550012,2.0563319714681976,1.626262834037581,2.248900478550012
