t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,349.5875159327555,304.7951145574539,304.7951145574539,304.5018946063224,304.5018946063224
2,302.37470677366167,331.82153364389785,330.54984342511904,361.19124500414796,304.75339598910386
3,309.32051307400474,357.7845715687707,328.5738296781177,384.5448985528954,392.5654567708616
4,309.82639337311804,480.7476412578814,346.60232225135445,452.5122278540704,480.7476412578814
5,311.57262593645623,519.2714365979249,355.4922730960045,471.6057719524678,519.2714365979249
6,311.7667908919608,507.58675622143926,368.4404141183492,475.7936675165652,509.5646271308138
7,264.51594685890785,504.24744032596107,382.38801152117054,484.11003969816,497.87602592231775
8,265.33792055038816,509.20052773247806,344.4902603454865,490.7068199255448,500.3500365407795
9,268.6360674146954,520.0861487094937,378.44479974022533,515.3298717714092,511.9112303986245
10,277.7986325013882,500.7594526930767,354.59795263758826,484.1807984332121,501.6747496610425
11,283.1102698061835,522.5863884289862,360.6218562535468,476.39636001994495,493.5743656490963
12,334.1483190523647,529.9610735679153,387.5934636623428,493.29854881379185,524.561753647966
13,328.33121132679105,503.18047376199206,366.7626333066315,479.46641875669076,524.3661112611093
14,319.0421222376915,540.55216987549,374.47923998247796,470.5035392279133,503.901059165646
15,319.65884402133463,543.135308957508,386.72763725031473,442.68348846185023,524.5703149928543
16,336.91830274299593,527.3438302570486,350.1004198200898,443.3644261137463,510.6190783925313
17,338.00598874321514,523.3763791588766,381.04684446650606,476.8055118464604,533.601484329876
18,352.4268599976496,561.2903440250857,337.50529256242595,472.3482018373526,559.7854397666994
19,347.2953611005294,561.3055570270021,385.39953620540194,488.37139940416864,560.6163222095118
20,343.73472318832285,511.3109421146949,384.72922535691123,372.9709300465854,512.8065799358588
21,344.9249051873884,518.0086781219915,402.352522741857,400.0210081954874,543.5598879419736
22,335.345335558387,547.4918858417834,371.6873282886447,364.4755182115435,545.4495918267633
23,335.8871639645496,538.6827690971345,395.9239814000793,373.4293174690121,526.3426624908724
24,330.54102764072394,500.9404935231408,332.68949193445764,342.76266416267686,526.0569187223865
25,332.97219363397807,546.4093327784042,389.14823001443705,412.91316972265,558.48916196099
26,330.74539721714376,523.2694726242187,424.7141168584054,305.9734951462956,502.1262674703074
27,337.84985156193704,516.8949172661141,395.36183911749185,320.0870197472355,499.57132234089
28,343.9046972020737,534.7725238133489,419.0651779827781,334.9546193008743,513.8877844784772
29,352.5931224820235,548.8952135660169,410.5367813124255,296.5469808454887,543.5225115898573
30,355.2774874097702,565.2973542288995,404.13225618723004,357.9006584602771,565.2973542288995
31,363.6423888191777,567.5721889038629,438.6533183148308,362.56942683856045,560.7144169438355
32,372.75461497540755,556.3652134536079,434.9783591815373,302.67275897015816,525.137036479573
33,388.929161466046,518.5063569992657,412.35581012092314,298.5345488459551,537.0600326659029
34,398.1488635288431,550.4458323657256,417.474636454517,288.0014404067882,520.5719937457512
35,414.0453876623841,510.3198740139957,428.28666584070436,337.8407820381676,579.9052265761069
36,436.0113884586836,540.4576856415191,428.32878374522306,335.33597206134573,566.0352466937975
37,448.6746238056341,548.7913671298292,416.47671364872724,337.6469834362489,549.5423837827395
38,468.849815523758,548.0982769445706,433.43810678078427,326.3882054027363,556.299816222958
39,493.13846581507613,560.94793968035,389.53861354725404,312.5804196891194,560.8522781806641
40,513.643008125427,535.8728735373668,446.3659171349765,296.79970595867456,547.3425847928357
41,514.9638287137687,554.2104077733211,432.52412471196544,339.962457621037,540.3022473006652
42,516.3638469713604,540.4969795313909,457.3591903928348,336.82018136481355,528.7069189042384
43,485.778954540314,488.5980388821827,411.0813962204096,320.41586151210765,481.2547705933414
44,460.94326197638526,459.0542291161624,383.365314742538,312.3925481236258,470.9667287890432
45,436.92201222385535,434.8053847171573,345.44259930950034,276.01253427090364,436.21240786375915
46,433.7989582965041,432.22802983555226,342.76082406688727,346.64017534752475,444.3016685470137
47,439.4897929210616,434.10463116595326,336.5727846356525,318.39707709835716,453.98631563074554
48,433.7189491064466,415.7064316740672,325.4608016158363,238.91453527419665,473.89903285900743
49,406.0955607810956,439.68073354573755,328.86809763541845,333.46964658543664,470.5735470821405
50,384.250818454966,449.0689894691153,314.8780624944053,379.19700841829706,459.1217347968334
51,370.5680856848985,444.8664130741387,320.4630332774117,379.28462015773334,464.63242808064416
52,366.46848179636703,454.1736944431189,326.28057024023855,384.93050177412084,473.77023440464797
53,350.4700259592406,441.3956318875627,323.5564967259864,377.97700679524144,457.6909113704874
54,345.1673716609986,418.950991110584,321.39995234410736,293.998355995274,423.1049673627057
55,351.2792712567625,452.6058566141465,332.1394145439742,346.57470145514105,470.98546318340436
56,349.80984429600295,492.1250757667778,328.46699533686404,384.6301318311018,475.49786223646663
57,343.04437212743363,484.2944049830078,356.0036644321121,376.64227364311586,484.03482675908697
58,343.9016323738057,497.983513702382,398.357562744206,409.59940820640594,515.1678582961844
59,339.7011271255549,515.7749153116274,403.8171848008778,415.028403542602,500.7857012653467
60,350.9046299354404,561.9239533666104,386.15245383563985,403.9850122406721,555.6992908329032
61,359.8799956034248,557.7013092829936,421.1636116307341,422.86394471044866,550.388482802593
62,354.8987863524678,521.7139242589926,433.34737965971345,425.0727788727842,571.4471623125062
63,351.77562460897906,546.9887655596605,464.6489584671638,451.87022784307555,555.9779750033091
64,354.1770317124002,599.1998945751565,454.95527170500304,489.96928137919275,591.1393621712218
65,352.8401530998181,596.3671209760578,477.1720388247883,499.26841027765045,588.4769458610007
66,351.2939986789071,602.0642411633986,466.1518593932071,446.4061329297411,595.3432351886911
67,360.07832814959414,628.9788820884097,464.0888583893836,498.2853264937684,616.8479455923746
68,350.9314644811365,598.0881789952163,440.68837353719204,480.5502287797759,592.8266872035853
69,344.0896628318199,576.4713323829448,393.33114704517277,458.7649514381322,583.228020287541
70,353.11321151965245,596.8219099423786,429.61058011372336,460.62749028550536,606.0798661276594
71,349.3461538889876,570.4925357999731,422.09983807177787,430.7919356039642,569.6108460709537
72,349.8430954444702,588.789459199296,435.3085334623597,431.32900555934776,588.994534881474
73,352.6465774982201,575.0122590621384,393.0441059619871,425.53831437984826,577.6222107817617
74,345.4658520393142,580.0638433312282,363.1969856821801,436.7669008576355,585.6438287908604
75,330.6531031231919,562.6708064415257,356.5628495405816,401.6193408368002,565.5055062725729
76,342.91956539108935,567.3050220012458,368.2817642339199,396.42799903609546,546.4802921931428
77,352.19498005297515,560.3337361558907,354.7247631101857,373.81358904616803,536.2013849357335
78,360.90993296213276,567.1595396153923,361.3720736620583,369.7409968704031,548.8533500676385
79,363.8414693350865,545.1287639888158,317.0570165708656,344.21390522940516,531.7188348499055
80,374.4205730321006,517.8030165893898,347.3569071848539,332.09495190476815,523.7705080809898
