t,formation,greedy,assignment,myopic,multipleroundsgreedy
1,3.4003328940693653,2.635659198080581,2.635659198080581,2.635659198080581,2.635659198080581
2,3.4094975860877734,3.1182147419263404,3.1182147419263404,3.1206875216124126,3.1206875216124126
3,3.3317934269542815,3.3992885757604663,3.3327887618653125,3.38695847026735,3.3657325343481954
4,3.3520028232136485,3.5574146783493386,3.319248578915848,3.5154184946241807,3.652652704518231
5,3.3646019991271947,3.8327856438853862,3.4621734048772863,3.7703403569813143,3.8327856438853862
6,3.3696550665933724,4.010890397203412,3.5142574534891167,3.8535919918146755,4.010890397203412
7,3.3695874927912923,4.110256194473572,3.541137311308172,3.972563653273048,4.161491672524247
8,3.234986172816627,4.124858388708796,3.6869538138495863,3.9742685618269644,4.188895625139606
9,3.215000032689379,4.135223588939869,3.7077164737747714,3.9787751418571067,4.186233983994484
10,3.209688982685873,4.224989513532566,3.5922896338088304,3.984456589883555,4.23694050130473
11,3.1965814274502353,4.2214130362639475,3.641989109341608,4.007594121482861,4.243005088835338
12,3.194567580032814,4.240606798507986,3.7388527636456583,4.014680844918277,4.281944218876923
13,3.2909477877850617,4.415363691448033,3.761985253745358,4.0223314847451865,4.289245550821936
14,3.2778457894040836,4.470739262965035,3.8764151072274164,4.1762237225623355,4.486919537296508
15,3.258917609929131,4.427436768571606,3.900634159485931,3.987457128005738,4.549900966152866
16,3.2387965325637413,4.539573856140164,3.8975709152438895,3.920250640000353,4.540775696965355
17,3.3586650633500006,4.579230809286273,3.915889987441781,3.9035562348184847,4.60307460018859
18,3.3466948402987056,4.662354132162485,3.9553774259472867,4.071109045856668,4.6675555208831065
19,3.344492861036775,4.690091020147141,3.7831413938257503,4.136327566443537,4.6899422504162995
20,3.3298717270710614,4.717036830115363,3.7714888524268813,4.068834327708489,4.736246377741449
21,3.3168861459788688,4.718398579529248,3.7342931096969982,3.750442751231228,4.709204802475338
22,3.248157604782024,4.725329816584521,3.715651755469773,3.884930228498491,4.735199045699898
23,3.2497977761603307,4.754605714868701,3.64994151103319,3.818372359412077,4.780361114383016
24,3.26067387059524,4.800140178545574,3.666887282455258,3.7046763087231245,4.809819659788792
25,3.277677740095002,4.7777373301168105,3.483194966401653,3.7418703251182004,4.797227932209871
26,3.2957142165198237,4.692018094939851,3.43001705206384,3.6595625394187334,4.812379579887337
27,3.3239921119432427,4.655598915910663,3.5023244139428704,3.559139554788106,4.771754648212581
28,3.3608205017886608,4.710068410190381,3.953500806829742,3.6597274139055607,4.811396226806613
29,3.411900516132703,4.743175871104191,3.9403214550946055,3.7088262540971195,4.766720944859772
30,3.4844310578283606,4.768014228933614,3.9726923816357336,3.6747972091402925,4.754266176689009
31,3.5422103048625475,4.810112586623071,3.7741869846810747,3.71507809322366,4.810112586623071
32,3.6337521167857414,4.792724902166396,3.6830139873099674,3.705326718075203,4.781482193346861
33,3.735681597493732,4.723803080173409,3.6077761474000667,3.6854715146727894,4.759090847259172
34,3.837856311438611,4.814775541791966,3.5628923621258277,3.7694697670751216,4.846920114385474
35,3.946141051433841,4.892152381517057,3.5715346141642197,3.812029960497903,4.909687308845392
36,4.067313244804991,4.962432160114133,3.578561211385545,3.8592294377903222,5.009172668691758
37,4.196661561112946,5.01283444037008,3.738216899494319,3.898673167388462,5.084226945697564
38,4.331777649142885,5.138834105636736,3.894798688372961,3.9423424853254114,5.147745165183473
39,4.470221703871177,5.194274981220009,3.8960686941620475,3.9656056522855168,5.189548730625101
40,4.727615357237066,5.249007112080784,3.946366916147599,3.979664783223599,5.251695407075224
41,4.871978035855721,5.264850134687089,3.946172527150657,3.997881606562891,5.266006962469638
42,5.055033559688313,5.327345561983028,3.9027826575230837,4.0182791377252896,5.330033406520649
43,5.1663266804161045,5.3553433086652005,4.005829571987703,4.055473522297232,5.379273666698446
44,5.23111478114963,5.364252076622766,4.001448970070332,4.083492201702842,5.399309033831247
